eta,rate
32.8378,0.01
33.3691,0.01259
33.3091,0.01585
33.5157,0.01995
33.3564,0.02512
33.3809,0.03162
33.3945,0.03981
33.539,0.05012
33.4273,0.0631
33.3342,0.07943
33.4517,0.1
33.2838,0.12589
33.211,0.15849
33.034,0.19953
32.9683,0.25119
32.7723,0.31623
32.5374,0.39811
32.2494,0.50119
31.9273,0.63096
31.4948,0.79433
30.9021,1
30.3222,1.25893
29.6537,1.58489
28.8987,1.99526
28.0813,2.51189
27.14,3.16228
26.1346,3.98107
25.1307,5.01188
23.9611,6.30958
22.7805,7.94329
22.1079,10
20.5976,12.5893
19.1453,15.8489
17.5923,19.9526
16.1005,25.1189
14.6805,31.6228
13.292,39.8108
11.7737,50.1188
11.0544,63.0958
9.68428,79.4329
8.8681,100
