eta,rate
31.6791,0.01
31.8721,0.01259
31.8279,0.01585
32.053,0.01995
32.0434,0.02512
31.8962,0.03162
32.0057,0.03981
32.1301,0.05012
32.11,0.0631
32.1131,0.07943
32.1096,0.1
32.1425,0.12589
32.0867,0.15849
32.0361,0.19953
31.9771,0.25119
31.8679,0.31623
31.6833,0.39811
31.4543,0.50119
31.1764,0.63096
30.7904,0.79433
30.3217,1
29.7335,1.25893
29.1129,1.58489
28.4188,1.99526
27.6718,2.51189
26.7996,3.16228
25.834,3.98107
24.8986,5.01188
23.769,6.30958
22.6249,7.94329
22.0944,10
20.5953,12.5893
19.1819,15.8489
17.6391,19.9526
16.1573,25.1189
14.7923,31.6228
13.435,39.8108
12.1594,50.1188
11.0768,63.0958
9.93554,79.4329
8.82451,100
