eta,rate
33.8441,0.01
34.6714,0.01259
34.9434,0.01585
34.9875,0.01995
34.6661,0.02512
34.55,0.03162
34.3006,0.03981
34.0921,0.05012
33.6977,0.0631
33.2823,0.07943
32.9783,0.1
32.7796,0.12589
32.5217,0.15849
32.323,0.19953
32.1209,0.25119
31.8443,0.31623
31.5992,0.39811
31.2097,0.50119
30.8226,0.63096
30.3627,0.79433
29.7648,1
29.2141,1.25893
28.5717,1.58489
27.8812,1.99526
27.0624,2.51189
26.1691,3.16228
25.2125,3.98107
24.2228,5.01188
23.1462,6.30958
22.0368,7.94329
22.2411,10
20.6359,12.5893
19.1557,15.8489
17.5948,19.9526
16.0842,25.1189
14.6356,31.6228
13.0833,39.8108
10.9287,50.1188
8.38662,63.0958
8.16928,79.4329
8.1286,100
