eta,rate
31.578,0.01
32.0156,0.01259
31.8538,0.01585
31.8594,0.01995
31.837,0.02512
31.8062,0.03162
31.7605,0.03981
31.8214,0.05012
31.868,0.0631
31.7851,0.07943
31.7313,0.1
31.6323,0.12589
31.5645,0.15849
31.4738,0.19953
31.3244,0.25119
31.1647,0.31623
30.9577,0.39811
30.6711,0.50119
30.3383,0.63096
29.9251,0.79433
29.4408,1
28.8108,1.25893
28.1836,1.58489
27.4823,1.99526
26.7323,2.51189
25.8713,3.16228
24.9388,3.98107
24.0031,5.01188
22.9462,6.30958
21.8352,7.94329
21.5122,10
20.0622,12.5893
18.6862,15.8489
17.1211,19.9526
15.6607,25.1189
13.9646,31.6228
12.0142,39.8108
9.85679,50.1188
7.60554,63.0958
5.26168,79.4329
3.35363,100
