eta,rate
31.8283,0.01
31.8396,0.01259
31.9315,0.01585
31.8682,0.01995
31.6516,0.02512
31.8575,0.03162
31.8888,0.03981
32.0237,0.05012
31.9592,0.0631
31.899,0.07943
31.8646,0.1
31.8007,0.12589
31.7514,0.15849
31.6384,0.19953
31.4369,0.25119
31.264,0.31623
31.0385,0.39811
30.7721,0.50119
30.4103,0.63096
29.9949,0.79433
29.4567,1
28.8928,1.25893
28.2501,1.58489
27.586,1.99526
26.7916,2.51189
25.9197,3.16228
24.981,3.98107
24.0516,5.01188
22.9993,6.30958
22.5048,7.94329
22.3984,10
21.0001,12.5893
19.4816,15.8489
17.9645,19.9526
16.2912,25.1189
14.5354,31.6228
12.3298,39.8108
9.99613,50.1188
7.79335,63.0958
5.3029,79.4329
3.26067,100
