eta,rate
32.4115,0.01
33.2538,0.01259
33.1847,0.01585
32.9671,0.01995
33.577,0.02512
33.2062,0.03162
33.2665,0.03981
33.2901,0.05012
33.3269,0.0631
33.2523,0.07943
33.1954,0.1
33.1423,0.12589
33.0299,0.15849
32.8965,0.19953
32.7906,0.25119
32.5384,0.31623
32.2985,0.39811
31.9506,0.50119
31.5738,0.63096
31.095,0.79433
30.4875,1
29.877,1.25893
29.1784,1.58489
28.4306,1.99526
27.5973,2.51189
26.658,3.16228
25.6575,3.98107
24.6629,5.01188
23.5457,6.30958
22.3665,7.94329
21.8361,10
20.2446,12.5893
18.806,15.8489
17.2819,19.9526
15.8496,25.1189
14.4382,31.6228
12.9984,39.8108
11.1351,50.1188
8.45277,63.0958
7.57088,79.4329
7.73139,100
