eta,rate
33.597,0.01
33.1179,0.01259
33.0327,0.01585
33.1463,0.01995
33.137,0.02512
33.1925,0.03162
32.945,0.03981
33.1274,0.05012
33.1099,0.0631
33.0884,0.07943
32.998,0.1
32.9187,0.12589
32.8345,0.15849
32.7708,0.19953
32.5391,0.25119
32.3842,0.31623
32.1054,0.39811
31.7773,0.50119
31.4263,0.63096
30.9685,0.79433
30.3552,1
29.7532,1.25893
29.0779,1.58489
28.3079,1.99526
27.5061,2.51189
26.5832,3.16228
25.5927,3.98107
24.5787,5.01188
23.4746,6.30958
22.302,7.94329
22.1648,10
20.5961,12.5893
19.1113,15.8489
17.5485,19.9526
16.0306,25.1189
14.3829,31.6228
12.294,39.8108
9.86411,50.1188
7.03432,63.0958
4.9557,79.4329
3.46696,100
