eta,rate
33.0165,0.01
33.2855,0.01259
33.3017,0.01585
33.3213,0.01995
33.0927,0.02512
33.393,0.03162
33.1179,0.03981
33.2094,0.05012
33.1412,0.0631
33.1182,0.07943
33.0601,0.1
33.0035,0.12589
32.9397,0.15849
32.8926,0.19953
32.7894,0.25119
32.6645,0.31623
32.4493,0.39811
32.1622,0.50119
31.8461,0.63096
31.4403,0.79433
30.9423,1
30.3804,1.25893
29.7043,1.58489
29.01,1.99526
28.2224,2.51189
27.3078,3.16228
26.3387,3.98107
25.3658,5.01188
24.2164,6.30958
23.0561,7.94329
22.6253,10
21.127,12.5893
19.6152,15.8489
18.0945,19.9526
16.6438,25.1189
15.0556,31.6228
13.432,39.8108
11.7753,50.1188
10.6425,63.0958
9.52177,79.4329
8.42087,100
