,F,V,R0,eta,gamma,alpha,,Vexp,R0exp,etaexp
0,5.914357633,-15.78442451,-4.978995745,-0.151780323,0.043765695,0.029695838,,1.39608E-07,0.006880969,0.859177002
1,5.852754001,-15.72104383,-4.923579008,-0.146883819,0.0413481,0.055237543,,1.48743E-07,0.007273054,0.863394281
2,5.706351703,-15.73604811,-4.969418785,-0.113908907,0.045197161,0.040411797,,1.46528E-07,0.006947185,0.892339238
3,5.794113773,-15.74630688,-4.937442802,-0.13579507,0.040632489,0.0334634,,1.45033E-07,0.007172918,0.873021522
4,5.909042628,-15.74958854,-4.930205263,-0.116428831,0.041465624,0.021610589,,1.44557E-07,0.00722502,0.890093442
5,5.911586813,-15.76153211,-4.963251741,-0.141658828,0.041579914,0.040330494,,1.42841E-07,0.006990161,0.867917315
6,5.885436898,-15.73568787,-4.980773474,-0.110936068,0.048300986,0.031799132,,1.46581E-07,0.006868748,0.894995966
7,5.908934147,-15.75142855,-4.927608138,-0.148298534,0.046098517,0.019895503,,1.44292E-07,0.007243809,0.862173688
8,5.866084933,-15.74654812,-4.958575911,-0.119904339,0.046021916,0.013623247,,1.44998E-07,0.007022922,0.887005285
9,5.779662754,-15.73149782,-4.936665903,-0.150275862,0.042563425,0.037777116,,1.47196E-07,0.007178492,0.860470573
10,5.730614878,-15.75175536,-4.944735758,-0.143084198,0.041713611,0.031351217,,1.44245E-07,0.007120796,0.866681093
11,5.704907497,-15.72815457,-4.935176733,-0.149326482,0.039316638,0.032806976,,1.47689E-07,0.00718919,0.861287874
12,5.8529887,-15.72543131,-4.965944033,-0.122736793,0.044413415,0.051436085,,1.48092E-07,0.006971366,0.884496437
13,5.931507313,-15.76266317,-4.956636558,-0.148216416,0.040743313,0.031628083,,1.4268E-07,0.007036555,0.862244491
14,5.765020377,-15.74650404,-4.938212053,-0.138329671,0.047779906,0.02730251,,1.45004E-07,0.007167402,0.870811563
15,5.856890086,-15.7298416,-4.929549834,-0.128813358,0.045602088,0.025310095,,1.4744E-07,0.007229757,0.879138034
16,5.904797706,-15.76477177,-4.973470252,-0.138604395,0.043855376,0.032259472,,1.42379E-07,0.006919095,0.870572363
17,5.84853328,-15.76646097,-4.914868038,-0.140267403,0.043651588,0.030967407,,1.42139E-07,0.007336686,0.869125798
18,5.761889278,-15.74515028,-4.927062838,-0.118598824,0.041747154,0.029326123,,1.45201E-07,0.00724776,0.88816404
19,5.803917524,-15.73415875,-4.913144108,-0.137711533,0.048140018,0.027022566,,1.46805E-07,0.007349345,0.871350011
20,5.785542807,-15.74701537,-4.95911466,-0.133178526,0.041940731,0.023986076,,1.4493E-07,0.007019139,0.875308813
21,5.758944006,-15.727238,-4.940595456,-0.124643141,0.042483169,0.055839011,,1.47825E-07,0.007150339,0.882811885
22,5.810105904,-15.75343634,-4.92913572,-0.142231054,0.044400994,0.012212968,,1.44002E-07,0.007232752,0.867420812
23,5.801811957,-15.74024884,-4.907517103,-0.144128189,0.043037378,0.015625754,,1.45914E-07,0.007390816,0.865776758
24,5.8970769,-15.74659064,-4.973983061,-0.119531443,0.045098851,0.013177548,,1.44992E-07,0.006915548,0.887336107
25,5.778272967,-15.71735711,-4.915096278,-0.128576762,0.044379442,0.032929041,,1.49293E-07,0.007335012,0.87934606
26,5.794080839,-15.77020474,-4.964274196,-0.151195603,0.043375191,0.063943268,,1.41608E-07,0.006983017,0.859679527
27,5.834941665,-15.76455828,-4.938231873,-0.160756675,0.046592527,0.004786953,,1.4241E-07,0.00716726,0.851499237
28,5.857069951,-15.72860404,-4.976874193,-0.134504833,0.044353753,0.041349134,,1.47623E-07,0.006895583,0.874148654
29,5.828312978,-15.74693267,-4.979998692,-0.136990959,0.043553574,0.032067651,,1.44942E-07,0.006874072,0.87197811
30,5.786659487,-15.72990183,-4.935459325,-0.126742818,0.040960208,0.032101909,,1.47432E-07,0.007187159,0.880960211
31,5.756321848,-15.73963696,-4.938856067,-0.123907413,0.048156271,0.025760682,,1.46003E-07,0.007162787,0.883461634
32,5.723043894,-15.72162714,-4.968969784,-0.124147474,0.045226614,0.034938172,,1.48657E-07,0.006950305,0.883249575
33,5.749519124,-15.72514616,-4.972918492,-0.10802003,0.040599265,0.034055112,,1.48134E-07,0.006922914,0.897609618
34,5.784284454,-15.74128591,-4.919434845,-0.137091186,0.044709249,0.027838425,,1.45763E-07,0.007303257,0.871890718
35,5.804003504,-15.73534267,-4.984635549,-0.141607815,0.042159292,0.086532661,,1.46632E-07,0.006842271,0.867961591
36,5.757929322,-15.75898584,-4.930818514,-0.12195672,0.043636622,0.02545071,,1.43205E-07,0.007220591,0.885186679
37,5.769799352,-15.7175091,-4.931511882,-0.140360418,0.042091524,0.041710397,,1.4927E-07,0.007215586,0.86904496
38,5.810111632,-15.76525493,-4.944141943,-0.137404512,0.039418366,0.035757288,,1.4231E-07,0.007125026,0.871617575
39,5.770773091,-15.77027351,-4.938518882,-0.136096056,0.040475773,0.014289,,1.41598E-07,0.007165203,0.872758795
40,5.924138463,-15.75680617,-4.976842475,-0.139571729,0.045561333,0.019312048,,1.43518E-07,0.006895802,0.869730636
41,5.779698671,-15.75525755,-4.978169519,-0.134286906,0.044779792,0.010724751,,1.4374E-07,0.006886657,0.874339175
42,5.813183184,-15.75506383,-4.923015228,-0.126581125,0.042849708,0.036080866,,1.43768E-07,0.007277155,0.881102667
43,5.844619947,-15.75446802,-4.992780129,-0.139690623,0.046538022,0.01809444,,1.43854E-07,0.00678677,0.869627236
44,5.798967202,-15.72807825,-4.979147287,-0.143875814,0.047398572,0.051080379,,1.47701E-07,0.006879927,0.865995286
45,5.876530232,-15.71881613,-4.953645932,-0.138082007,0.043938637,0.061313229,,1.49075E-07,0.00705763,0.871027258
46,5.693460806,-15.71988152,-4.918193299,-0.128635346,0.05129411,0.013143976,,1.48916E-07,0.00731233,0.879294546
47,5.756069902,-15.73037754,-4.948954805,-0.137316507,0.043271083,0.018029844,,1.47361E-07,0.007090816,0.871694285
48,5.729157049,-15.75380113,-4.922399133,-0.133019598,0.045678813,0.030196949,,1.4395E-07,0.00728164,0.875447935
49,5.721844007,-15.7562057,-4.948873102,-0.149112169,0.046078307,0.032334852,,1.43604E-07,0.007091396,0.861472479
50,5.74305057,-15.745486,-4.927305561,-0.119168749,0.047578308,0.031053527,,1.45152E-07,0.007246001,0.887657997
51,5.765299405,-15.75710525,-4.943857777,-0.152195717,0.044710925,0.023971918,,1.43475E-07,0.007127051,0.858820179
52,5.863670406,-15.73586142,-4.95994155,-0.15489743,0.04381618,0.034043009,,1.46556E-07,0.007013338,0.856503024
