,F,V,R0,eta,gamma,alpha,,Vexp,R0exp,etaexp
0,5.727252639,-15.42998249,-4.760643909,-0.114977184,0.048941836,0.05374714,,1.98996E-07,0.008560096,0.891386481
1,5.834174799,-15.45939237,-4.797606028,-0.143702884,0.051058926,0.058597452,,1.93229E-07,0.008249472,0.866145055
2,5.799324334,-15.44627886,-4.817880053,-0.15730942,0.042352621,0.02867977,,1.95779E-07,0.008083906,0.854439637
3,5.721610343,-15.40706178,-4.822023334,-0.118072261,0.043891565,0.067297736,,2.0361E-07,0.008050482,0.888631837
4,5.710106821,-15.410066,-4.848267995,-0.125973272,0.049089447,0.029982613,,2.02999E-07,0.007841948,0.881638411
5,5.749735102,-15.41719915,-4.80405001,-0.116785056,0.048363931,0.071700826,,2.01556E-07,0.008196484,0.889776425
6,5.774068048,-15.39529521,-4.840296588,-0.101417359,0.049108455,0.066579973,,2.06019E-07,0.007904709,0.903555847
7,5.78682796,-15.41332302,-4.812064527,-0.095494928,0.048079713,0.032974311,,2.02339E-07,0.008131056,0.908922971
8,5.748626895,-15.43321754,-4.839906438,-0.12385848,0.051023869,0.027154596,,1.98353E-07,0.007907794,0.883504866
9,5.780480505,-15.43621676,-4.777600084,-0.139367348,0.036184232,0.075397445,,1.97759E-07,0.008416173,0.869908411
10,5.799026498,-15.40130021,-4.785036113,-0.126142306,0.049472894,0.018691646,,2.04786E-07,0.008353822,0.881489397
11,5.716247313,-15.42402377,-4.770113079,-0.110212402,0.050416541,0.024334837,,2.00185E-07,0.008479421,0.895643879
12,5.779608939,-15.45008631,-4.76243538,-0.142196354,0.045029426,0.035879167,,1.95035E-07,0.008544774,0.867450912
13,5.843059479,-15.4646334,-4.801720508,-0.149035046,0.046644795,0.049187264,,1.92218E-07,0.0082156,0.861538921
14,5.784479773,-15.44134074,-4.754921267,-0.143673493,0.041860391,0.036284158,,1.96748E-07,0.008609222,0.866170513
15,5.717408686,-15.42056038,-4.802424087,-0.132194665,0.04219626,0.042653214,,2.0088E-07,0.008209822,0.876170418
16,5.795993403,-15.43993362,-4.796931784,-0.137046195,0.046730377,0.04082081,,1.97025E-07,0.008255036,0.871929947
17,5.765720951,-15.42495635,-4.808401373,-0.093555887,0.042902825,0.090597367,,1.99998E-07,0.008160896,0.910687121
18,5.788621208,-15.42781733,-4.799045104,-0.119775665,0.043967444,0.085128146,,1.99427E-07,0.008237609,0.887119426
19,5.859745761,-15.45827345,-4.815663738,-0.106310553,0.048173625,0.032700476,,1.93445E-07,0.008101843,0.899145372
20,5.727851191,-15.46147091,-4.845601251,-0.177577458,0.045163255,0.034449231,,1.92827E-07,0.007862888,0.837296141
21,5.832978395,-15.46504455,-4.755486873,-0.131877753,0.041713974,0.063848283,,1.92139E-07,0.008604354,0.876448131
22,5.786540125,-15.40165925,-4.791947513,-0.132577007,0.045336865,0.049747099,,2.04713E-07,0.008296285,0.875835486
23,5.736132163,-15.41476558,-4.79323962,-0.133528485,0.042654902,0.020883434,,2.02047E-07,0.008285572,0.875002544
24,5.808139611,-15.46024102,-4.756356502,-0.118362224,0.045626843,0.02108272,,1.93065E-07,0.008596875,0.888374204
25,5.799063216,-15.443637,-4.815116123,-0.151148595,0.042935874,0.066124165,,1.96297E-07,0.008106281,0.859719939
26,5.808590782,-15.44168543,-4.751932682,-0.124298629,0.045241902,0.057141044,,1.9668E-07,0.00863499,0.883116077
27,5.697954598,-15.44877487,-4.800605211,-0.121071792,0.042903369,0.027037929,,1.95291E-07,0.008224768,0.885970352
28,5.835166841,-15.42494637,-4.808250454,-0.110498463,0.047666247,0.040818347,,2E-07,0.008162127,0.895387706
29,5.832610735,-15.43746976,-4.792799147,-0.12062393,0.047067762,0.084338523,,1.97511E-07,0.008289222,0.886367233
30,5.832987736,-15.42947772,-4.78751915,-0.119315402,0.045111198,0.090945001,,1.99096E-07,0.008333105,0.887527829
31,5.865258775,-15.43676772,-4.802040893,-0.144914473,0.041874114,0.075374221,,1.9765E-07,0.008212968,0.865096279
32,5.79715566,-15.43541507,-4.797625743,-0.119010903,0.044305248,0.035311918,,1.97918E-07,0.00824931,0.887798121
33,5.903826366,-15.48444088,-4.79775419,-0.163633035,0.046328129,0.030615559,,1.88449E-07,0.00824825,0.849053538
34,5.867900172,-15.42972307,-4.780565644,-0.112067834,0.045881597,0.02762,,1.99047E-07,0.008391251,0.893983613
35,5.710851913,-15.42280105,-4.804412633,-0.116627417,0.040017907,0.028638376,,2.0043E-07,0.008193512,0.889916699
36,5.833296446,-15.42321155,-4.815100245,-0.129288137,0.043028037,0.016195497,,2.00348E-07,0.008106409,0.878720737
37,5.85885711,-15.41537767,-4.790697541,-0.135992726,0.037546688,0.115434527,,2.01923E-07,0.008306661,0.872848981
38,5.773362019,-15.41352039,-4.800377241,-0.128880053,0.040377372,0.06481525,,2.02299E-07,0.008226643,0.879079402
39,5.816696354,-15.43595672,-4.802290041,-0.13656357,0.041207899,0.042970046,,1.9781E-07,0.008210922,0.872350863
40,5.913870994,-15.42853855,-4.828461111,-0.121087689,0.045679731,0.027264455,,1.99283E-07,0.007998821,0.885956267
41,5.832313569,-15.42283163,-4.799759163,-0.138277709,0.045931429,0.072971401,,2.00424E-07,0.008231729,0.870856813
42,5.83482451,-15.40980409,-4.799692865,-0.111776965,0.039437099,0.092873368,,2.03052E-07,0.008232275,0.894243683
43,5.802271877,-15.44482687,-4.792168521,-0.126400397,0.044325322,0.039238811,,1.96064E-07,0.008294451,0.881261922
44,5.729858637,-15.40859,-4.803023625,-0.105914776,0.043655637,0.042021534,,2.03299E-07,0.008204901,0.899501303
45,5.847372684,-15.44996107,-4.756693203,-0.118708831,0.046070111,0.059913814,,1.9506E-07,0.008593981,0.88806634
46,5.862444822,-15.41553572,-4.79963126,-0.121968878,0.041321963,0.061288016,,2.01891E-07,0.008232782,0.885175917
47,5.804954892,-15.42145678,-4.808502091,-0.110182347,0.043881452,0.045634887,,2.007E-07,0.008160074,0.895670798
48,5.811147195,-15.42714973,-4.798225478,-0.141919545,0.042199398,0.019968939,,1.9956E-07,0.008244364,0.867691064
49,6.048227086,-15.45560974,-4.801920364,-0.114975889,0.044024331,0.061890132,,1.93961E-07,0.008213958,0.891387635
50,5.864477303,-15.38945301,-4.84500743,-0.13376196,0.041571352,0.0521598,,2.07227E-07,0.007867559,0.874798277
51,5.876987846,-15.45011373,-4.794129761,-0.132931056,0.046622282,0.038140253,,1.9503E-07,0.0082782,0.875525452
52,5.85380917,-15.464147,-4.825292292,-0.144785554,0.045034467,0.061621952,,1.92312E-07,0.008024208,0.865207813
53,5.839604579,-15.42732355,-4.802173124,-0.112520266,0.050380748,0.04663206,,1.99526E-07,0.008211882,0.893579238
54,5.877833333,-15.40617774,-4.777113491,-0.115199799,0.042212016,0.11057404,,2.0379E-07,0.008420269,0.891188067
55,5.76900856,-15.43793866,-4.763567683,-0.129019453,0.045725127,0.018025824,,1.97419E-07,0.008535104,0.878956867
56,5.841930829,-15.43466642,-4.796871215,-0.104244617,0.045429154,0.028384742,,1.98066E-07,0.008255536,0.901004869
57,5.850300628,-15.43165419,-4.785284479,-0.123732571,0.050659189,0.061684256,,1.98663E-07,0.008351748,0.883616114
