Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.005869787,0.006517502,0.006629904,0.006819858,0.00542725,0.006400848,0.006072791,0.00696235,0.006889369,0.006197753,0.006378741,0.000490972
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.01052043,0.010665346,0.010855216,0.011160123,0.010101455,0.010675875,0.010618346,0.011154735,0.011102092,0.010600117,0.010745374,0.000332099
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.010875301,0.011088661,0.011204916,0.011516585,0.010416976,0.01112834,0.010970993,0.011468575,0.011474424,0.010909318,0.011105409,0.000338501
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.011233392,0.011486403,0.011609671,0.011899547,0.010680049,0.011500066,0.011327397,0.011876171,0.011802546,0.011246152,0.011466139,0.000369843
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.011620833,0.011918969,0.012044714,0.012378979,0.011123973,0.011927176,0.011690309,0.012327562,0.012262965,0.011635726,0.011893121,0.000388659
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.012042801,0.012346259,0.012477879,0.01283369,0.011440698,0.012344504,0.012104775,0.012744929,0.012662474,0.012016189,0.01230142,0.000418081
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.012481085,0.012843178,0.012927629,0.013300707,0.011864077,0.012735962,0.012543269,0.013203416,0.013139841,0.012496463,0.012753563,0.00043016
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.012954973,0.013300654,0.01344496,0.013801811,0.012286688,0.013234576,0.013036875,0.013725834,0.01365811,0.012899061,0.013234354,0.000461811
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.013469936,0.013844072,0.013958816,0.014345871,0.01277389,0.013802714,0.013503512,0.01425687,0.014185417,0.013406587,0.013754768,0.000479176
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.013989843,0.014390655,0.01451229,0.014925589,0.013266212,0.014347093,0.01401513,0.01481509,0.014742678,0.013876491,0.014288107,0.000509047
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.014530426,0.014972961,0.015114291,0.015537976,0.013811347,0.014918263,0.014587872,0.015416872,0.015346792,0.014471,0.01487078,0.000529155
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.015164877,0.015588339,0.015737469,0.016202541,0.014355034,0.015544361,0.015193572,0.016066254,0.015940623,0.01506932,0.015486239,0.000555304
6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,0.015789038,0.016256968,0.016427469,0.016899942,0.014957289,0.016180044,0.01582026,0.016721091,0.01664397,0.015711741,0.016140781,0.000584494
9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,0.016470019,0.016972033,0.017143616,0.017644606,0.015603473,0.016888249,0.016502528,0.01745937,0.017364761,0.016358545,0.01684072,0.000617332
13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,0.017160129,0.017701166,0.017915462,0.018407853,0.016290949,0.01763045,0.017267521,0.018242447,0.018131225,0.017105633,0.017585284,0.000642748
20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,0.017963179,0.01850016,0.018682847,0.01924158,0.017022303,0.018439289,0.018018526,0.019076945,0.018942968,0.017887312,0.018377511,0.000670413
30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,0.018767338,0.019357706,0.019552882,0.020112198,0.017763184,0.019238724,0.018835358,0.019948798,0.019803145,0.018652263,0.01920316,0.000714298
46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,0.019613797,0.020272006,0.020454611,0.021009987,0.018578134,0.020157762,0.019680475,0.020854952,0.020706641,0.019503228,0.020083159,0.000745839
69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,0.020518985,0.021182485,0.02141261,0.022018265,0.019439162,0.021083701,0.020624016,0.021801954,0.021650321,0.020449791,0.021018129,0.000776163
104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,0.021459588,0.022183547,0.022394927,0.023043097,0.020298674,0.022070772,0.021570459,0.022778952,0.022657841,0.021399093,0.021985695,0.00082005
156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,0.022411257,0.023229284,0.023471416,0.02411529,0.021185707,0.023084509,0.022569812,0.02374851,0.023683008,0.022396939,0.022989573,0.000865289
234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,0.023396687,0.024298865,0.024543964,0.025240993,0.022163641,0.024132307,0.023641107,0.024834763,0.024806551,0.023413957,0.024047283,0.000911423
