Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var3,Var4
0,0,0,0,0,0,0,0,0,0,0.0126033346011547,0.00996809196163179,0.0111461307980911,0.0129962426990522,0.0129475055708149,0.0123810450142467,0.0129622579788004,0.0120281866182764,0.0114780716884861,0.0126391760964783,0.0121150043027033,0.000985035104157784
0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.0667333333333333,0.013461386963286,0.0111394533162742,0.0121546656242201,0.0138104194136952,0.0137281304811625,0.0134502540883126,0.0139933705848182,0.0128357101857731,0.0121633565328839,0.013584379994301,0.0130321127184727,0.000932363825659979
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.0143264367054578,0.0117223795247221,0.0135462167317755,0.0144780286616248,0.0142385454342213,0.0143706638399165,0.0145634246792044,0.0133628734908066,0.0127851380020593,0.0140308126158579,0.0137424519685646,0.000910418034541628
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.0165349707483656,0.0144283359972366,0.0155959179801504,0.0162066961915066,0.0156563058571793,0.0162283204643646,0.0164544526572515,0.0144016522725741,0.0147311560794203,0.0156796319416074,0.0155917440189656,0.000812383101633194
0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.233566666666667,0.0182250594170935,0.0166361901181419,0.017070735523914,0.0179954002935539,0.0179540178165028,0.018108223076819,0.0185668901840134,0.0173299492181993,0.0170457102725832,0.0175663181486915,0.0176498494069513,0.000617435227304815
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.0188682567624535,0.0174220141996298,0.017665893539,0.0189791207690012,0.0191289983577034,0.0187480681323984,0.0193360353026624,0.0186841534628043,0.0180917542766794,0.0185388146421307,0.0185463109444463,0.000628907791971919
0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.533866666666667,0.0190014009606062,0.0176667486795005,0.0179024246376393,0.0191414872534653,0.0193086355346143,0.0189312848402309,0.0194930976404997,0.0189976308248304,0.0183131552540643,0.0189025696191849,0.0187658435244636,0.00060353916944541
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.0190576459732228,0.0177500985587943,0.017983836476237,0.01922357722791,0.0194090762865758,0.0189753159372927,0.019590801886515,0.0190355451102075,0.0183612633828368,0.0189832444396556,0.0188370405279248,0.000606366419245747
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.019116171134967,0.017805966828045,0.0180687562954599,0.0193203980400591,0.0195136188497013,0.0190658375488866,0.019689888020934,0.0191268226233255,0.0184701699884818,0.0191130815252728,0.0189290710855133,0.000615760344599883
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.0192099497835702,0.0179451783626854,0.018202710873324,0.0194704436415144,0.0196166536998754,0.019208216801065,0.0198163521838514,0.0192918569424108,0.018540369435931,0.0192423028981865,0.0190544034622414,0.000617280391638363
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.0193701135762513,0.0180773657383972,0.0183785393262759,0.0196492755752236,0.0198118539040511,0.0193530985431068,0.0199986851990532,0.0194285527975557,0.0188057987921969,0.0194097095818222,0.0192282993033934,0.00061870792629967
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.0196039524451748,0.0182902504735512,0.018626505662303,0.0198599553247931,0.0200284623295572,0.0196173593798977,0.0202451057531643,0.0196524520721946,0.0189956123524613,0.0196766479539804,0.0194596303747078,0.000624290212884918
6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,6.08941666666667,0.0198877957791756,0.0185687297675478,0.0189606560810096,0.0202411626991976,0.0203821600621758,0.0199548368732344,0.0206001728637348,0.0200148621649363,0.0194012941590472,0.0200588480326311,0.019807051848269,0.000640976316837952
