Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.005494426,0.005624838,0.005769109,0.005466387,0.005308469,0.005628281,0.005941329,0.00531194,0.005817019,0.005867434,0.005622923,0.000225302
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.008564536,0.008831653,0.008753564,0.008496632,0.008548965,0.008721126,0.00888876,0.008741942,0.008929966,0.008885418,0.008736256,0.000154444
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.00881345,0.009110252,0.009097663,0.00877936,0.008816001,0.008954886,0.009125483,0.008998179,0.00918907,0.009162513,0.009004686,0.000155904
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.009015914,0.009378065,0.009400965,0.009007588,0.00909592,0.009238451,0.009406333,0.009285774,0.009441895,0.00943637,0.009270727,0.000173079
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.00927062,0.009729013,0.009799055,0.009355156,0.009378339,0.009619143,0.009750632,0.009566793,0.009782337,0.009801619,0.009605271,0.000203202
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.009542489,0.01009973,0.010070611,0.009641273,0.009769756,0.009903557,0.010102555,0.009903055,0.010116238,0.010210769,0.009936003,0.000224138
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.010663154,0.010534724,0.010552904,0.01046614,0.010451179,0.010572593,0.010545112,0.010545068,0.010590083,0.010610564,0.010553152,6.29E-05
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.010564841,0.010909522,0.010963497,0.010515781,0.010562852,0.010817856,0.010887293,0.010728481,0.010955314,0.011050787,0.010795622,0.000191753
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.010841942,0.011323266,0.011401808,0.010929127,0.010975293,0.011200799,0.011321468,0.011130219,0.011409599,0.011474123,0.011200764,0.000222782
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.01121424,0.011825795,0.011857322,0.01133887,0.011432541,0.011691067,0.011812956,0.011578169,0.011858148,0.011953515,0.011656262,0.000253052
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.011619702,0.012331037,0.012324822,0.011822563,0.011900377,0.012164152,0.012274278,0.012050069,0.012323985,0.012460215,0.01212712,0.000271002
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.012185763,0.012873106,0.012887136,0.01231995,0.012426049,0.012697458,0.012827001,0.012566612,0.012878732,0.013013263,0.012667507,0.000279357
6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,0.012712334,0.013462249,0.01343994,0.012823822,0.012961844,0.013250575,0.013387477,0.013092755,0.01340807,0.013572751,0.013211182,0.000296757
9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,0.013283651,0.014032549,0.01409393,0.013444682,0.013555706,0.013819243,0.013991584,0.013700629,0.014025715,0.014191095,0.013813878,0.000305859
13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,0.013884836,0.014675788,0.01473224,0.01406561,0.014183541,0.01447707,0.014636818,0.01435083,0.014720993,0.01486812,0.014459585,0.000326874
20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,0.014555626,0.015369003,0.015431657,0.01472095,0.014826552,0.015158305,0.015298544,0.014975571,0.015453768,0.015567251,0.015135723,0.000347399
30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,0.015191511,0.016089031,0.016172315,0.015405556,0.015559423,0.015860565,0.016046921,0.015695578,0.016144968,0.016285967,0.015845184,0.000367601
46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,0.015924155,0.016869766,0.016965064,0.016167213,0.016294765,0.016650157,0.016821702,0.016466277,0.016903827,0.017098865,0.016616179,0.000387498
69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,0.016654047,0.017706591,0.017774052,0.016936642,0.017109079,0.017426619,0.017631837,0.017253047,0.017766394,0.017936672,0.017419498,0.000419551
104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,0.017521374,0.01858526,0.018680991,0.017756081,0.017941801,0.018295639,0.018504044,0.018102852,0.018620996,0.018846124,0.018285516,0.000439274
156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,0.01840031,0.019499209,0.019577565,0.018648869,0.018824532,0.01922108,0.019407049,0.018981529,0.019554458,0.019741479,0.019185608,0.0004502
234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,0.019281188,0.02045947,0.020527825,0.019562833,0.019766366,0.020156028,0.02037829,0.019908199,0.020551937,0.020740383,0.020133252,0.000483416
