Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.007465835,0.00756258,0.00761571,0.007402363,0.007263237,0.007572275,0.006825518,0.007224197,0.007165686,0.007241594,0.007333899,0.000241045
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.014748693,0.014786158,0.014596358,0.014203713,0.01420037,0.012868253,0.013923788,0.010723841,0.014084549,0.014297505,0.013843323,0.001224107
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.015557871,0.015644088,0.015516758,0.015250069,0.015241533,0.014522915,0.014821779,0.013658087,0.015064556,0.015181084,0.015045874,0.000595352
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.016352636,0.016475234,0.016466097,0.016208673,0.016234343,0.015777687,0.015664136,0.015059747,0.015891912,0.016048972,0.016017944,0.000437553
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.01730709,0.017421517,0.017444362,0.017221171,0.01724911,0.016964566,0.016606768,0.016327552,0.016870322,0.016966866,0.017037932,0.000363931
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.018178378,0.018293836,0.018327948,0.018158661,0.018151658,0.017984537,0.017466511,0.017313167,0.017709488,0.017809203,0.017939339,0.000351895
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.019175451,0.01926784,0.019362943,0.01915768,0.019211399,0.019021559,0.018393747,0.018341745,0.018739004,0.018793634,0.0189465,0.000363194
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.020126686,0.020267047,0.020352845,0.020157245,0.020191979,0.020080944,0.019373298,0.019351996,0.019650163,0.019787143,0.019933935,0.000367682
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.021169885,0.021352789,0.021379854,0.021254893,0.021237443,0.02110959,0.020393828,0.020436452,0.020698758,0.020792305,0.02098258,0.000372208
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.022246186,0.022430652,0.022541614,0.022356357,0.022368394,0.022283282,0.021418123,0.021517474,0.021768839,0.021878009,0.022080893,0.000402307
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.023368244,0.023575269,0.023678121,0.023493906,0.023528172,0.023405484,0.022545478,0.02262456,0.022881817,0.022974575,0.023207562,0.000414334
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.024530002,0.024805917,0.024880588,0.024643166,0.024787636,0.024669994,0.023745141,0.023761172,0.02404777,0.024123233,0.024399462,0.000438752
6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,0.025769812,0.026098818,0.02611612,0.025820978,0.026061287,0.025981721,0.024949356,0.024901679,0.02523408,0.025328577,0.025626243,0.000478776
9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,9.142466667,0.027026915,0.027384333,0.027419448,0.026975377,0.027377039,0.027219417,0.026286695,0.026064794,0.026464043,0.026555598,0.026877366,0.000498113
13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,13.7137,0.028388942,0.028817485,0.028755166,0.028119808,0.028753732,0.0286065,0.027643978,0.027245862,0.027595202,0.027875332,0.028180201,0.000566696
20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,0.029838589,0.030220921,0.030210151,0.029273362,0.030239204,0.030062799,0.029043753,0.028414406,0.028809204,0.029260372,0.029537276,0.000663376
30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,0.03131275,0.031790404,0.031729107,0.030458146,0.031757599,0.031609407,0.030582139,0.029590992,0.03008207,0.030766731,0.030967934,0.000784554
46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,0.032957769,0.033376031,0.033373615,0.031682573,0.033331182,0.033217291,0.032142499,0.03079242,0.03136718,0.032309519,0.032455008,0.000940254
69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,0.034627901,0.035130099,0.035074389,0.032967897,0.034824856,0.034973582,0.033816272,0.031964776,0.032723498,0.033866154,0.033996942,0.001122614
104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,0.036370907,0.036966043,0.036939683,0.0343303,0.036334025,0.036970474,0.03547926,0.033209281,0.03421134,0.035532023,0.035634334,0.001330646
156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,0.038193699,0.038875804,0.039088084,0.035702905,0.037937585,0.038781444,0.037317909,0.034560136,0.035813509,0.037343171,0.037361425,0.00153883
234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,0.040192433,0.040774242,0.041102617,0.037301897,0.039625854,0.041252106,0.039181997,0.036041952,0.037550624,0.039225257,0.039224898,0.001756476
351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,351.6513,0.041996244,0.042859524,0.043198572,0.039043405,0.04133284,0.043514376,0.041002311,0.037609592,0.039725679,0.041280025,0.041156257,0.00190024
