Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,Radius_7,Radius_8,Radius_9,Radius_10,meanRadius,stdRadius
0,0,0,0,0,0,0,0,0,0,0.007427479,0.007274214,0.007527078,0.00716768,0.007136682,0.007030397,0.0068839,0.006849555,0.007178243,0.006738576,0.00712138,0.000252181
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.014128105,0.013474294,0.013633567,0.013788763,0.01321894,0.013736355,0.013075324,0.013075594,0.012693442,0.013141319,0.01339657,0.000429979
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.014886849,0.014417279,0.01455726,0.014474217,0.014158755,0.014350078,0.01392674,0.013868155,0.013768153,0.013865248,0.014227273,0.00036847
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.015621196,0.015286238,0.015434367,0.015262201,0.015015164,0.015115995,0.014717717,0.014697453,0.014754221,0.014602052,0.015050661,0.000350119
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.016460406,0.016207266,0.01631207,0.016055323,0.015956631,0.015924304,0.015551232,0.015554224,0.015749831,0.01536535,0.015913664,0.00035807
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.017304898,0.017006107,0.017157595,0.016781789,0.016750135,0.016699473,0.016322976,0.016345959,0.016633003,0.016203852,0.016720579,0.000363946
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.018264267,0.017995215,0.018165631,0.017708545,0.017686054,0.017575256,0.017239145,0.017336432,0.017590767,0.017121275,0.017668259,0.000382904
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.019165881,0.018894314,0.019044204,0.018568889,0.018609307,0.018457133,0.018091129,0.018143058,0.018545775,0.01797323,0.018549292,0.000403242
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.020203191,0.019876316,0.020068316,0.019566258,0.019589454,0.019416266,0.01908516,0.01911791,0.019521,0.018901156,0.019534502,0.000427358
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.021231314,0.020904463,0.021112894,0.020577517,0.020591545,0.020445817,0.020051329,0.020083912,0.02053877,0.019852212,0.020538977,0.00045604
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.022332398,0.022021235,0.022206432,0.021628068,0.021641636,0.021453158,0.021124397,0.021108532,0.021573532,0.020900221,0.021598961,0.000478865
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.02347549,0.023191264,0.023348221,0.022747009,0.022876642,0.022534747,0.022207323,0.02221264,0.022748975,0.022002848,0.022734516,0.000503366
