,0,1,2,3,4,5,6,7,8,9,10,11
0,-15.484871916575266,-15.426123167206217,-15.518269469971935,-15.388851940514703,-15.330660975671531,-15.466295221142747,-15.526722435886319,-15.275676669511371,-15.470632545367279,-15.386709188475368,-15.502670266133851,-15.493453673124767
1,-15.496294328330436,-15.426123167206217,-15.518561564975874,-15.388851940514703,-15.330660975671531,-15.469551239994608,-15.526722435886319,-15.275676669511371,-15.474886693632001,-15.427896718946666,-15.519767660690736,-15.493826659998307
2,-15.496294328330436,-15.42592111841224,-15.541783216636878,-15.388851940514703,-15.331871453828732,-15.469551239994608,-15.52821178064037,-15.275676669511371,-15.474886693632001,-15.471496875664295,-15.519767660690736,-15.49535271594605
3,-15.496294328330436,-15.439123727763224,-15.54458489908455,-15.388851940514703,-15.331871453828732,-15.573298169886762,-15.535970918952787,-15.317316164602449,-15.559602189639023,-15.471496875664295,-15.52105476834636,-15.49535271594605
4,-15.496294328330436,-15.467689023445491,-15.560202582178182,-15.398566829379666,-15.331871453828732,-15.573298169886762,-15.557066132964911,-15.317316164602449,-15.559602189639023,-15.47137626591511,-15.52105476834636,-15.495461414428318
5,-15.507909432351841,-15.467689023445491,-15.560202582178182,-15.439057024149589,-15.402290017861086,-15.579964068953338,-15.561250186423294,-15.317316164602449,-15.587943924424144,-15.501637187858542,-15.52105476834636,-15.495461414428318
6,-15.507909432351841,-15.494636619110743,-15.560202582178182,-15.439057024149589,-15.423726846164376,-15.579379577633865,-15.59072831411926,-15.350419247187082,-15.587943924424144,-15.501637187858542,-15.519976660493745,-15.495461414428318
7,-15.523205293286198,-15.495648476798245,-15.560202582178182,-15.439057024149589,-15.423726846164376,-15.579379577633865,-15.58993724423031,-15.395874069435353,-15.587943924424144,-15.50273568739714,-15.519976660493745,-15.495848362619698
8,-15.523205293286198,-15.495648476798245,-15.560202582178182,-15.48508811314156,-15.423726846164376,-15.579379577633865,-15.58993724423031,-15.395874069435353,-15.587435800081867,-15.545103811661775,-15.519976660493745,-15.495848362619698
9,-15.547642235066277,-15.505478529864998,-15.560202582178182,-15.48508811314156,-15.423726846164376,-15.565166459373101,-15.58993724423031,-15.397262679383173,-15.587435800081867,-15.545103811661775,-15.519976660493745,-15.495848362619698
10,-15.560425560582011,-15.534296635424264,-15.560202582178182,-15.48508811314156,-15.48427604199493,-15.640261356797152,-15.58993724423031,-15.397262679383173,-15.580239398302192,-15.545103811661775,-15.524909664661262,-15.495848362619698
11,-15.592976451346972,-15.55174816366457,-15.560202582178182,-15.48508811314156,-15.48929659714713,-15.640261356797152,-15.59809115040378,-15.45521548501588,-15.580239398302192,-15.560512212186767,-15.527324370276679,-15.495848362619698
12,-15.564418647693751,-15.569801766463769,-15.55903142150503,-15.48508811314156,-15.50793608722154,-15.640610769733213,-15.59809115040378,-15.45521548501588,-15.566489207569411,-15.560512212186767,-15.530007327123736,-15.495848362619698
13,-15.564418647693751,-15.569801766463769,-15.55903142150503,-15.48508811314156,-15.50793608722154,-15.640610769733213,-15.59809115040378,-15.45521548501588,-15.566489207569411,-15.560276670445726,-15.530007327123736,-15.503587019845504
14,-15.564418647693751,-15.569801766463769,-15.55903142150503,-15.495598982879383,-15.509487861235083,-15.640610769733213,-15.59809115040378,-15.45521548501588,-15.574071163088337,-15.560276670445726,-15.542224226648566,-15.503587019845504
15,-15.564418647693751,-15.569801766463769,-15.55903142150503,-15.495598982879383,-15.527750253667616,-15.6462868550288,-15.59809115040378,-15.5008378873694,-15.570314161444848,-15.560276670445726,-15.542224226648566,-15.501919618453009
16,-15.566220999141532,-15.569801766463769,-15.562824041082461,-15.495598982879383,-15.527750253667616,-15.6462868550288,-15.59809115040378,-15.540312841392476,-15.570314161444848,-15.559182911789955,-15.542224226648566,-15.521442205926824
17,-15.591192445282003,-15.569801766463769,-15.562824041082461,-15.495598982879383,-15.545766447953357,-15.672536612568155,-15.602705568629357,-15.540312841392476,-15.570314161444848,-15.561977352829754,-15.542224226648566,-15.521442205926824
18,-15.591192445282003,-15.569801766463769,-15.562824041082461,-15.495350031708965,-15.545766447953357,-15.672536612568155,-15.602705568629357,-15.534670709346214,-15.570314161444848,-15.561977352829754,-15.542224226648566,-15.53047445541686
19,-15.623817449846868,-15.569801766463769,-15.562824041082461,-15.518761395379787,-15.545766447953357,-15.672536612568155,-15.602705568629357,-15.534526892749552,-15.570314161444848,-15.561977352829754,-15.542224226648566,-15.538130632160403
20,-15.623817449846868,-15.569801766463769,-15.563776100066253,-15.520044703354962,-15.545766447953357,-15.662466764100916,-15.602705568629357,-15.534526892749552,-15.582844424506618,-15.563426300024851,-15.54382236498484,-15.538130632160403
21,-15.623817449846868,-15.568795393245857,-15.56469223262646,-15.520044703354962,-15.547129310990975,-15.677438263972046,-15.622031348908413,-15.534151196182766,-15.59567240803606,-15.563426300024851,-15.544089478102851,-15.538130632160403
22,-15.623817449846868,-15.564453432602573,-15.564491780202536,-15.520044703354962,-15.546557744804295,-15.677438263972046,-15.622031348908413,-15.543607571677601,-15.59567240803606,-15.548659268418143,-15.544361326433135,-15.538130632160403
23,-15.623817449846868,-15.564846579034512,-15.564491780202536,-15.520044703354962,-15.546557744804295,-15.677438263972046,-15.622031348908413,-15.543607571677601,-15.595979545228108,-15.604968002466409,-15.572554274081828,-15.55197836614921
24,-15.623817449846868,-15.564846579034512,-15.564491780202536,-15.520044703354962,-15.546557744804295,-15.654825208597506,-15.622116559933765,-15.543607571677601,-15.605485737591907,-15.604968002466409,-15.570602919960905,-15.556554789436612
25,-15.616647363657027,-15.564846579034512,-15.564491780202536,-15.520044703354962,-15.546369984884565,-15.650339493703411,-15.60457575878533,-15.543607571677601,-15.605485737591907,-15.604968002466409,-15.570602919960905,-15.563437512807022
26,-15.616647363657027,-15.564846579034512,-15.564301008984998,-15.520044703354962,-15.546369984884565,-15.648214358930161,-15.60457575878533,-15.543607571677601,-15.605485737591907,-15.603495386887278,-15.570602919960905,-15.568986243786428
27,-15.6414686687742,-15.564846579034512,-15.564301008984998,-15.520044703354962,-15.546369984884565,-15.648214358930161,-15.604093134218392,-15.543811341516784,-15.60559829579662,-15.603495386887278,-15.600350057526894,-15.568986243786428
28,-15.6414686687742,-15.572645866778002,-15.564301008984998,-15.520044703354962,-15.546369984884565,-15.648214358930161,-15.599116109955435,-15.592207898499941,-15.606161479634398,-15.603495386887278,-15.597305922509824,-15.568986243786428
29,-15.640725855474923,-15.572645866778002,-15.564301008984998,-15.520044703354962,-15.554540318358098,-15.648214358930161,-15.62475641499485,-15.594170844094693,-15.59448593097619,-15.60065031269226,-15.597305922509824,-15.592393458845203
30,-15.626534129318204,-15.575583276914417,-15.567087900781944,-15.520044703354962,-15.554540318358098,-15.648511173457582,-15.62475641499485,-15.581504173199999,-15.59448593097619,-15.59990741102781,-15.616147786974445,-15.592393458845203
31,-15.639079844383193,-15.591268992072806,-15.567087900781944,-15.543956260723135,-15.554540318358098,-15.648511173457582,-15.610600185114336,-15.581504173199999,-15.59448593097619,-15.59990741102781,-15.609653981195608,-15.590914343527775
32,-15.639079844383193,-15.591268992072806,-15.567087900781944,-15.543956260723135,-15.554540318358098,-15.648511173457582,-15.610600185114336,-15.590794623841223,-15.594365401383683,-15.59211169544525,-15.609653981195608,-15.590914343527775
33,-15.635882372235757,-15.591287224343011,-15.567087900781944,-15.543956260723135,-15.554540318358098,-15.648511173457582,-15.61026418147513,-15.579826892320535,-15.594365401383683,-15.59211169544525,-15.609763855263724,-15.590914343527775
34,-15.607256335219194,-15.591446349667116,-15.600588445094523,-15.543956260723135,-15.548930980485501,-15.649043726972755,-15.61026418147513,-15.57920597817289,-15.594365401383683,-15.59206783532657,-15.612475015882998,-15.590914343527775
35,-15.608921138704133,-15.590693561151413,-15.600588445094523,-15.543956260723135,-15.55333042852314,-15.646864647822806,-15.62654945469132,-15.57800279492359,-15.597597569801385,-15.614474106149128,-15.615411205042014,-15.59337426164521
36,-15.608921138704133,-15.61519591116778,-15.595214586169794,-15.543956260723135,-15.55333042852314,-15.646864647822806,-15.62654945469132,-15.57800279492359,-15.597597569801385,-15.617892831348463,-15.615411205042014,-15.59337426164521
37,-15.616627281819538,-15.61519591116778,-15.595214586169794,-15.543956260723135,-15.55333042852314,-15.646864647822806,-15.62654945469132,-15.581032143236921,-15.597597569801385,-15.616863027348835,-15.615411205042014,-15.593330002186766
38,-15.616627281819538,-15.613770007231354,-15.593343225562858,-15.547386125984852,-15.550941181404784,-15.64116708675168,-15.630237824216488,-15.581032143236921,-15.601664001449631,-15.616863027348835,-15.615960691612246,-15.610467352861482
39,-15.616627281819538,-15.611683127936185,-15.593343225562858,-15.547386125984852,-15.550941181404784,-15.64116708675168,-15.630237824216488,-15.590269972973166,-15.626060986116197,-15.616863027348835,-15.617671366696216,-15.60456413001209
40,-15.616627281819538,-15.611683127936185,-15.59840680024576,-15.547386125984852,-15.567427123594054,-15.64116708675168,-15.630237824216488,-15.590269972973166,-15.626060986116197,-15.66633232730688,-15.617671366696216,-15.60456413001209
41,-15.616627281819538,-15.611683127936185,-15.59840680024576,-15.547386125984852,-15.567427123594054,-15.64116708675168,-15.630237824216488,-15.599442361214685,-15.626060986116197,-15.630511223250029,-15.614908731784759,-15.60456413001209
42,-15.616967248192935,-15.611683127936185,-15.599176981902588,-15.560449783874857,-15.569815178817654,-15.64116708675168,-15.638256215892671,-15.599442361214685,-15.626060986116197,-15.651830044892659,-15.614908731784759,-15.60456413001209
43,-15.616967248192935,-15.611683127936185,-15.598709753209809,-15.560449783874857,-15.569815178817654,-15.643424010539066,-15.631509587702434,-15.599678447831119,-15.626060986116197,-15.647661478583581,-15.614908731784759,-15.60456413001209
44,-15.627794827084626,-15.602963796684353,-15.618739980858942,-15.560449783874857,-15.569815178817654,-15.65112485196706,-15.631531948083884,-15.599678447831119,-15.63121546674356,-15.64826980759817,-15.614908731784759,-15.60456413001209
