,0,1,2,3,4,5,6,7,8,9,10,11
0,-15.386466948926758,-15.507698023319977,-15.289111962544501,-15.37683833636663,-15.408785467874475,-15.37475216436124,-15.537680358440118,-15.50745595143759,-15.553754607973724,-15.360315721213787,-15.375735377694577,-15.443485929371818
1,-15.386466948926758,-15.514394384776406,-15.319099791196823,-15.37683833636663,-15.408785467874475,-15.37475216436124,-15.537680358440118,-15.604589993129553,-15.596443746886223,-15.388576873818408,-15.382505082588509,-15.446423889480304
2,-15.386466948926758,-15.546130072213003,-15.319099791196823,-15.377923065370759,-15.408785467874475,-15.37913234248524,-15.537680358440118,-15.604589993129553,-15.596443746886223,-15.385299822816478,-15.383094749030999,-15.446423889480304
3,-15.386466948926758,-15.546130072213003,-15.378369985352045,-15.377923065370759,-15.408785467874475,-15.389157469436904,-15.569838483989443,-15.65322847636262,-15.596443746886223,-15.387236975011755,-15.414395520627846,-15.44661468231535
4,-15.38744554800121,-15.546130072213003,-15.378329764037854,-15.377923065370759,-15.408569095522513,-15.395648080687321,-15.569838483989443,-15.681580049892462,-15.596443746886223,-15.387236975011755,-15.418445664429543,-15.506962925499131
5,-15.409795926763758,-15.546130072213003,-15.385194305078553,-15.377923065370759,-15.408569095522513,-15.395648080687321,-15.569838483989443,-15.681580049892462,-15.596443746886223,-15.38585465677609,-15.419421709218922,-15.514709349970001
6,-15.405948240322543,-15.56219797007434,-15.387059364560242,-15.380245870950425,-15.419034779333634,-15.395648080687321,-15.569838483989443,-15.648757326495364,-15.596443746886223,-15.38585465677609,-15.430903768870596,-15.573915737473564
7,-15.407017320086252,-15.598684638798732,-15.384984418257769,-15.380245870950425,-15.419034779333634,-15.395648080687321,-15.642830294522012,-15.648757326495364,-15.596443746886223,-15.38585465677609,-15.487030612646729,-15.738959243878837
8,-15.419642921893917,-15.598684638798732,-15.384984418257769,-15.380245870950425,-15.425665724482176,-15.395648080687321,-15.642830294522012,-15.648757326495364,-15.596443746886223,-15.386922183136226,-15.487030612646729,-15.738959243878837
9,-15.419642921893917,-15.598684638798732,-15.385307164311252,-15.482356278590016,-15.425665724482176,-15.395648080687321,-15.642830294522012,-15.651578502158264,-15.615612324496578,-15.386922183136226,-15.487030612646729,-15.738959243878837
10,-15.44241143536304,-15.581090957811242,-15.385307164311252,-15.482356278590016,-15.425665724482176,-15.410424558107259,-15.549570941324214,-15.651578502158264,-15.615612324496578,-15.386922183136226,-15.487030612646729,-15.738959243878837
11,-15.461348515099848,-15.581090957811242,-15.38975166762632,-15.482356278590016,-15.429846217559021,-15.435952460493725,-15.574556016265879,-15.608579484065798,-15.615612324496578,-15.386922183136226,-15.535198346184032,-15.721633488909836
12,-15.498875969378012,-15.578001456320642,-15.38975166762632,-15.482356278590016,-15.429846217559021,-15.435952460493725,-15.581409778660344,-15.597654313305076,-15.615612324496578,-15.386922183136226,-15.547354462349158,-15.721633488909836
13,-15.498875969378012,-15.595693863900511,-15.38975166762632,-15.482356278590016,-15.479901464048655,-15.435952460493725,-15.58865598299638,-15.597654313305076,-15.615612324496578,-15.429324303107215,-15.547354462349158,-15.672876992045369
14,-15.498875969378012,-15.595693863900511,-15.38975166762632,-15.482356278590016,-15.479901464048655,-15.435952460493725,-15.58865598299638,-15.597654313305076,-15.615612324496578,-15.429324303107215,-15.547354462349158,-15.669183554725537
15,-15.498875969378012,-15.595693863900511,-15.38975166762632,-15.512495601912452,-15.490516688271128,-15.462817021856228,-15.593287608145213,-15.608163194456262,-15.615612324496578,-15.429324303107215,-15.547354462349158,-15.669183554725537
16,-15.498875969378012,-15.595693863900511,-15.38975166762632,-15.512495601912452,-15.494035618384164,-15.462817021856228,-15.593287608145213,-15.608163194456262,-15.615612324496578,-15.43541518365719,-15.545329318202652,-15.660367188423427
17,-15.541796612010721,-15.595693863900511,-15.38975166762632,-15.554437945241379,-15.494035618384164,-15.480348940174318,-15.593287608145213,-15.611541738178781,-15.615612324496578,-15.43541518365719,-15.56190657674776,-15.651155203957371
18,-15.541796612010721,-15.598785536647325,-15.422115403066396,-15.561413154219718,-15.500553790530018,-15.515277004734745,-15.593287608145213,-15.614649967002487,-15.615612324496578,-15.43541518365719,-15.58005433793826,-15.651155203957371
19,-15.541796612010721,-15.598785536647325,-15.443869947844108,-15.561413154219718,-15.503357365826133,-15.515277004734745,-15.593287608145213,-15.614649967002487,-15.615612324496578,-15.43541518365719,-15.607496983195078,-15.651155203957371
20,-15.541796612010721,-15.600253897360574,-15.443869947844108,-15.587273862528148,-15.57678887501522,-15.515277004734745,-15.593287608145213,-15.614649967002487,-15.615612324496578,-15.43541518365719,-15.610532262163158,-15.651155203957371
21,-15.541796612010721,-15.599484494029362,-15.443869947844108,-15.587273862528148,-15.57819464647634,-15.53861054314253,-15.590583316524278,-15.614649967002487,-15.615612324496578,-15.43541518365719,-15.610532262163158,-15.707339307881972
22,-15.565952067134974,-15.599484494029362,-15.466305852448244,-15.58902125997304,-15.573239419960926,-15.53861054314253,-15.588175089780705,-15.62044077869777,-15.612252903226672,-15.43541518365719,-15.610532262163158,-15.667859539597025
23,-15.58817646393814,-15.599484494029362,-15.520665329799279,-15.590718360032847,-15.578384217906757,-15.561810908662988,-15.588175089780705,-15.62044077869777,-15.623461089775052,-15.457387883388352,-15.61108945564725,-15.659056313910595
24,-15.589159388601622,-15.626774960246903,-15.53885700750421,-15.590718360032847,-15.578384217906757,-15.561810908662988,-15.588175089780705,-15.62044077869777,-15.623461089775052,-15.52556966926125,-15.61108945564725,-15.659056313910595
25,-15.589159388601622,-15.625338722895082,-15.53885700750421,-15.590718360032847,-15.57153031426046,-15.560935875289413,-15.597459278290495,-15.609089398621583,-15.623461089775052,-15.52556966926125,-15.61108945564725,-15.653929712000707
26,-15.589159388601622,-15.625338722895082,-15.53885700750421,-15.598250259053469,-15.577540086613672,-15.563971434742525,-15.61977580872447,-15.609089398621583,-15.636392269037891,-15.55800921965355,-15.61108945564725,-15.668955628148924
27,-15.589159388601622,-15.625338722895082,-15.587183644162781,-15.598250259053469,-15.577540086613672,-15.592862050075555,-15.61977580872447,-15.609089398621583,-15.636392269037891,-15.56669933587,-15.611405803965681,-15.668955628148924
28,-15.589159388601622,-15.625338722895082,-15.591305347977595,-15.598250259053469,-15.581587893245118,-15.592862050075555,-15.623514847956068,-15.609089398621583,-15.636392269037891,-15.56669933587,-15.611405803965681,-15.655500197501059
29,-15.589159388601622,-15.625338722895082,-15.591305347977595,-15.604330327017754,-15.584772955360727,-15.592862050075555,-15.62351241480581,-15.609089398621583,-15.636392269037891,-15.567190021012888,-15.629295314680464,-15.659939278470453
30,-15.589159388601622,-15.629765348940671,-15.591305347977595,-15.604085359567701,-15.584772955360727,-15.59384326084666,-15.62351241480581,-15.609089398621583,-15.636392269037891,-15.568154044747473,-15.629295314680464,-15.659939278470453
