,tcrd,eta0d,n,etainfd
0,-0.32873106585554285,3.4712372856730926,0.7702505134797893,-6.541101464852732
1,-0.25892866497234734,3.4649953425375934,0.7777380428070643,-6.6907886542122075
2,-0.2861763540426826,3.4685271139538405,0.7767866379456082,-7.0129390056839584
3,-0.2890525063088732,3.470465916405797,0.773628290064829,-6.936867135982334
4,-0.37062668331989645,3.462355378130526,0.7746703798725982,-6.737801106879129
5,-0.3126928543431343,3.469006982040442,0.7767070148004517,-7.1843627182373275
6,-0.306396016967187,3.4669920922908313,0.774936922379639,-6.5902783588522835
7,-0.21412603105958228,3.4732636046138694,0.7809643537585109,-6.5848490879144
8,-0.26568877731467655,3.4806294922418117,0.7702859237378598,-6.171086009537577
9,-0.2752643979281166,3.4693198307765107,0.776254660014853,-7.298825032569909
10,-0.3612619490169835,3.4624096191461504,0.7696240502024795,-6.515174621368926
11,-0.3575452150081942,3.471668161337251,0.7654298932866859,-6.931857790445542
12,-0.3362278080297769,3.4688352422025868,0.7677345695461938,-7.0087471598317705
13,-0.32539546102704286,3.4663030085849957,0.7706990476578525,-6.9262455989681335
14,-0.30135883330770524,3.4744271661977333,0.770718716712818,-7.2166019136204
15,-0.31296757374977824,3.471931932898397,0.7706946389396565,-7.038318213625891
16,-0.36284010543947276,3.46520003589164,0.770868198995909,-6.856866905192108
17,-0.29757981731522176,3.468381287022053,0.7715560378498892,-6.590480373289502
18,-0.325714746362078,3.469785915434095,0.7718394432841987,-7.2556589540756935
19,-0.37165080204682377,3.465089233924484,0.7704543403180022,-7.044362643165598
20,-0.33707239462657956,3.465715268609606,0.7749045273747265,-6.694545950018621
21,-0.3322775948122253,3.467549150827453,0.7736387017724683,-7.338971116078986
22,-0.23280781467772252,3.4721828906411156,0.7814191055857802,-6.54186489321031
23,-0.2763903428897224,3.4690813876538984,0.7750101986780266,-6.739264983156009
24,-0.37253379354616545,3.4690524668650946,0.766685127426936,-6.789344230903871
25,-0.2610423965655142,3.4707783016197893,0.7748855648804539,-6.609052474706527
26,-0.3264903471835319,3.4640977493773617,0.7761659193521313,-6.907221175515094
27,-0.3236119381856506,3.4641318404692565,0.7731403680829446,-6.720469724444765
28,-0.3835164997569826,3.465175688877147,0.765192388068726,-7.3395504211846685
29,-0.354118454789693,3.464999028185202,0.7694726981736609,-7.032274471547101
30,-0.3817687145453798,3.46995083619073,0.7644556858763131,-7.1814648420549325
31,-0.37976812592646864,3.464126008471368,0.7706241106914125,-6.752900654192916
32,-0.3189636358711031,3.468150824028842,0.7757761698705128,-7.019625971278852
33,-0.37472899938887644,3.4631902032582467,0.7700618655912924,-6.575043795493232
34,-0.303743728839307,3.4694756551919252,0.7757629155128573,-7.7474411682686135
35,-0.3560677024678948,3.470115265299156,0.7724666439732157,-6.919623617571385
36,-0.3223996655899194,3.465637292872965,0.7766293984710704,-6.8970781279317315
37,-0.36890910820173695,3.465471923595399,0.7727560204595595,-6.999363557782143
38,-0.31249480379779565,3.474931307829437,0.7700758106491167,-6.658689728255348
39,-0.38308553353570884,3.459164690667284,0.770922644102581,-7.625888360133097
40,-0.36265719644482214,3.4751769076149017,0.7637775058101536,-6.8054117995432994
41,-0.32057075731354134,3.467701726332109,0.7726859913938235,-6.625446522971253
42,-0.3546640743585089,3.465204162127471,0.768501085612731,-7.385547288182479
43,-0.3455113081345535,3.4633468754929804,0.7724180453170306,-6.873007326601547
44,-0.39083863996489576,3.461636664636572,0.7683565160206386,-7.231926351980864
45,-0.30453947353905275,3.4720365722960915,0.7717925995474855,-7.063544957169288
46,-0.3503828851511704,3.4717258270072873,0.7651494735054929,-7.157689538197731
47,-0.41570035526795623,3.467991276739279,0.7658874001087977,-6.496136887407885
48,-0.30463919574497716,3.4685531941943317,0.777048925617071,-7.076678292228401
