,F,V,R0,eta,gamma,alpha
0,5.800549648639912,3.116659235901008e-07,0.008291143841844963,0.9052799636126749,0.04519451258524751,0.3725697629599972
1,5.7130389909865364,2.8958623664080424e-07,0.008774560203693854,0.8803239699549783,0.04887124950643625,0.547946030491007
2,5.797866066675175,3.2572862504002605e-07,0.008550282456932982,0.8700952915343259,0.04608894723741096,0.14901833882043058
3,5.769593723391889,2.7057610522291857e-07,0.008246557923307623,0.9221931485525718,0.04407472854265519,0.03652036480822259
4,5.665266395957349,2.917562431449101e-07,0.00827162164912626,0.8749974132186381,0.045376258897164845,0.3979075879138902
5,5.737486504482755,2.993841232192995e-07,0.008212603564957175,0.8953740651695188,0.044377813270402196,0.10331106936559457
6,5.779662313455038,2.952880015069316e-07,0.008398336650804594,0.8204148986059916,0.04454813510265259,0.14581505392820002
7,5.5887023640044236,2.7947576069958594e-07,0.007931531992879513,0.926034088325877,0.0433415433502436,0.3554695976269351
8,5.725645970229693,2.719846103650446e-07,0.008486092856168184,0.8430738648480216,0.051987896384480384,0.3281814731870998
9,5.583082930596001,2.983988189653521e-07,0.008091563825260578,0.9067665724724334,0.04107691339476187,0.23236124279122955
10,5.725523896229241,2.916478590040576e-07,0.008491551405086289,0.8450155317356031,0.046285329074813676,0.18883096728979984
11,5.549131973727664,2.8355348831979943e-07,0.008772651326703598,0.9170903277363741,0.0461070061733069,0.12142745571741917
12,5.788572465823938,2.921936034589896e-07,0.008086444594522684,0.8688105053633282,0.038603283547726644,0.2493689434884109
13,5.790446390372958,2.979378934840425e-07,0.007701592142524852,0.8759778486097324,0.041902655722499633,0.13942496361568185
14,5.7205826299203855,2.972700926159602e-07,0.008389964047901252,0.9159634829082198,0.04755553682177252,0.06944702018465247
15,5.653652643858754,3.1952652739047563e-07,0.008071979566686925,0.9133874554431579,0.04535442927478214,0.3788190622726113
16,5.804859864542749,3.0603676508296436e-07,0.007844334714537628,0.9527338969486585,0.04291504183004829,0.1155592338351235
17,5.632410262695788,3.1932595548282157e-07,0.007862771528783839,0.8913274827368891,0.046506503145249144,0.19721252630476163
18,5.761236133074549,2.899510634725359e-07,0.008457418746408834,0.9506108989939438,0.04635889197748225,0.2525326390167428
19,5.609970830592324,2.9959788915598475e-07,0.008316199116591164,1.006742579277897,0.044188206624988374,0.37774897581710104
20,5.69994793073208,3.020983087796443e-07,0.007822458883838335,0.98729101345425,0.04695298827595886,0.29506843569492397
21,5.742503032580822,3.022502691965768e-07,0.008897344244864908,0.8197636428746264,0.047936875861709805,0.3361415319788445
22,5.668919249968239,2.9111639599728487e-07,0.008147324649836751,0.9689553667980481,0.04621522415163384,0.5134640213674402
23,5.633004779962034,3.1697095599102546e-07,0.008209675784036145,0.9526604222257163,0.04624324496376166,0.44355195872424397
24,5.653625355901821,2.993682702465627e-07,0.008066460040437623,1.016503612943619,0.046527944785618267,0.2983588782342234
25,5.660774080582869,2.908387982538993e-07,0.008231941230107159,0.9421708164757113,0.0432059646320727,0.37430089726197674
26,5.646086223568233,2.984053582993166e-07,0.008137259691133897,0.987942635863613,0.04748454948190086,0.18321547742356908
27,5.618710419992134,2.7970482411601315e-07,0.007611355166408506,0.8508268748025104,0.0426940577010286,0.10652829182512845
28,5.802018530910181,2.9624667006727227e-07,0.00821728243368378,0.930283019189473,0.04789677915356694,0.05047222734676611
29,5.585307744253986,2.868745145208294e-07,0.007844305854019315,0.9354923380674532,0.046063419196449525,0.39410879467470855
30,5.749646552819782,3.111658424255005e-07,0.008236112248002837,0.9037914760363331,0.047337871869534705,0.33802556908714854
31,5.876924387389058,2.9273643984119817e-07,0.008437752848383879,0.8195645255399544,0.04550946885183293,0.2855769518613766
32,5.517943275880411,2.934938875285178e-07,0.008071274004831444,0.9295098065750137,0.04166451126475808,0.2975794264825877
33,5.684861612660627,2.976592154188078e-07,0.00789250685875646,0.875653944608222,0.04711350399615476,0.30259330605649576
34,5.823161773856062,2.9091206635651e-07,0.008029289210851184,0.8499934201670508,0.047886346602802596,0.14179307707385133
35,5.632865133412084,2.881009212453485e-07,0.008347704401230798,0.8462885360256169,0.0452219799734584,0.14713181202076248
36,5.795857673475202,2.8309334923892264e-07,0.008745448163829373,0.9949553429505982,0.04592638821801752,0.30598157304542356
37,5.744393129172619,3.008161949598109e-07,0.007981042708581593,0.8105274922455314,0.04463925972220233,0.2689776935847443
38,5.6650714128625035,2.662594897740244e-07,0.00824182170870138,0.9305795085848795,0.04297331397482695,0.307938025056432
39,5.684161246677093,2.8299908318016866e-07,0.008282792138390994,0.897256057585603,0.04526201244903035,0.11101330652954618
40,5.800136998529647,2.914401062591719e-07,0.008419650507200468,0.9231840708157212,0.04342356339385586,0.2204828073683851
41,5.77898612338264,2.9668510932614065e-07,0.007964281877789149,0.8353119085903222,0.047012093413155716,0.426220395530529
42,5.957438416637959,3.1342048137222133e-07,0.007967560173767999,0.8789960144441038,0.04331397348941729,0.2149946412659642
43,5.764645340936532,2.7966492287107997e-07,0.00834917776913286,0.8350517056419817,0.041525091026263304,0.1975499863766667
44,5.6551529903476965,3.1072717034006973e-07,0.008186522758152242,0.9285414847841108,0.04814330288838648,0.3156032467343452
45,5.770486345122974,3.0189089105820134e-07,0.008161111280504146,0.7814347789358045,0.04519183486486719,0.3873149714003009
46,5.732218468733134,3.0925717407377135e-07,0.008857710026062745,0.905579551794512,0.04252140379141904,0.5094286822929212
47,5.573125607414825,2.9860197428368325e-07,0.008261094501655757,0.8304210105033826,0.045147734377599405,0.3587181772101455
48,5.809763762107025,2.951900953318768e-07,0.007928795358130517,0.819837733594227,0.044781386430204934,0.10814431733625454
49,5.791172551530308,2.9614618949175647e-07,0.008456294803941363,0.7946426244539667,0.04410432150060264,0.39299478315128344
50,5.788684340433888,2.91221106627674e-07,0.008090761703781854,0.9153742412546675,0.03946768561827842,0.1768806047642995
51,5.727905410283576,3.008742292014194e-07,0.007976005395881869,0.8504520162240253,0.04504562176286572,0.2980099455997314
52,5.628262589779917,2.8658640505096646e-07,0.008462518900422345,0.8596798694283273,0.04319865350801488,0.11779922789728953
53,5.779860612769204,2.902749087199554e-07,0.008188831290679858,0.8255641109083076,0.04694803732272164,0.07005944901130343
54,5.7142773882409745,2.938678388083451e-07,0.008391780021009664,0.9236725111287937,0.049098925001660396,0.3576420735046083
55,5.864143524756083,2.744284823821516e-07,0.008469241937654227,0.812893594605571,0.04191879533649577,0.30017074509403546
56,5.729289401955613,2.7364341262874445e-07,0.008039104822004038,0.8622421785980613,0.04412872293395046,0.3119313727468957
57,5.785391840469904,2.9925968054698063e-07,0.008280784533867188,0.8620330282228341,0.0455320130083634,0.17068341358370462
58,5.731265165474891,2.7792968704335134e-07,0.008542497926516564,0.9358807356836307,0.04676096104427649,0.35096716748061463
59,5.793543251835358,2.879474884493825e-07,0.00836452364865665,0.8207230431806627,0.049033887617993877,0.22404385194982498
60,5.721482549063114,2.946370380829566e-07,0.008111763054921709,0.8633300085456921,0.04910732433715096,0.20521896650841284
61,5.651720607987193,2.853638084429302e-07,0.007786594334672229,0.8699906968155565,0.04291916101202845,0.4094216050391064
62,5.668976957487739,2.995622670533559e-07,0.007831035577724303,0.8801063660880195,0.04612559599984192,0.08147314110863861
63,5.7452727241506345,2.960700531080771e-07,0.008020636849870403,0.8555333329208096,0.04902882171634744,0.2143017911199215
64,5.660364318325698,3.119367415190481e-07,0.007936653792629022,0.8878658839677463,0.04536459666854141,0.25434817745040955
65,5.679240260667906,2.784515504009557e-07,0.008075996048952434,0.8680998748863867,0.0432242641961454,0.31383995576764107
66,5.755171822192924,3.0987527442288806e-07,0.008036510285968733,0.9453807885109251,0.04775791262764437,0.19632030373444706
