,F,V,R0,eta0d,gamma,alpha
0,2.8914190580906225,1.2694511200803142e-07,0.005088984039567724,32.17652938458949,0.06712486854029573,0.1395453381076405
1,2.7859512748253557,1.1986706627237472e-07,0.005684116786293246,31.97631084431805,0.0664711839550103,0.21615483656149975
2,2.877945496617358,1.4194816730408921e-07,0.005708476839604285,32.08944352674625,0.07120480292337776,0.1348183653672462
3,2.6985346908106718,1.25480036575617e-07,0.0054910589403241675,32.151718968920264,0.06384591705780493,0.21898936214908352
4,2.7781444335468173,1.1888344849875393e-07,0.004989898837737237,31.892005851872455,0.0636997645349189,0.268303491270274
5,2.80294112270538,1.262070334590325e-07,0.005351105657152253,32.10484592187491,0.065320877691581,0.2231749707807034
6,2.698951122653336,1.0691878036125584e-07,0.005523247649701172,32.040223322483456,0.07008046849125706,0.14634565546188477
7,2.7781028366426734,1.2683862574032062e-07,0.005360079878208602,32.241795398077926,0.06792834411151537,0.20335940577906042
8,2.7127690484427416,1.219080305929351e-07,0.005584681875029218,32.480161651684185,0.06425080119181838,0.5036728355760397
9,2.7432500654822976,1.205072607171875e-07,0.0058651764442391365,32.11489145362727,0.06574756156919159,0.1908788843896448
10,2.688664678878532,1.4085212943657398e-07,0.005760942673335603,31.893735753575545,0.0649659319884114,0.5387916143408543
11,2.6880098834803783,1.3628033150074477e-07,0.005716928139807016,32.1903964553355,0.06546441226759317,0.23488080651803048
12,2.871366733076975,1.3208871688925393e-07,0.005526002708495362,32.09933271427416,0.06451204784311498,0.17630062161541718
13,2.8286117481835005,1.2642620174215543e-07,0.0056265658717698855,32.01815253184504,0.06663768163178153,0.2226334841048823
14,2.8144282758962555,1.2968480051068445e-07,0.005544917986589782,32.27933254675496,0.06664112045430302,0.3630117682851794
15,2.8434602496449357,1.1121178564335618e-07,0.005771578170101624,32.19888848639135,0.06461027621924809,0.020875514594557894
16,2.6981344712365725,1.2505899379280048e-07,0.005606308956839257,31.982856852574166,0.06280151355567558,0.1800603941021484
17,2.840380665168831,1.2626252246838686e-07,0.005775193120071494,32.08476436283633,0.06826484624139889,0.30640661639512307
18,2.6147793828676535,1.495942398234748e-07,0.005452670199454714,32.12986320059355,0.064085861972699,0.3811945015020515
19,2.7254862141419176,1.208777694241707e-07,0.005238651916014998,31.97931328544036,0.06561988369032735,0.4046456095909131
20,2.9957263376198497,1.553183440790791e-07,0.005669067282033461,31.99933971272841,0.0671406176566203,0.19204684121442697
21,2.879473832332436,1.2492951312293127e-07,0.00555471899218515,32.05807657459208,0.062027311385713345,0.338443868437456
22,2.954946943027169,1.27599795652814e-07,0.005443264272266253,32.20697006078838,0.06735984491271892,0.6101418424636207
