eta,rate
1.02644,1
1.02171,1.25893
0.99446,1.58489
0.97606,1.99526
0.95375,2.51189
0.93378,3.16228
0.91949,3.98107
0.90678,5.01187
0.89859,6.30957
0.89217,7.94328
0.8883,10
0.88019,12.5893
0.87243,15.8489
0.86469,19.9526
0.8593,25.1189
0.85455,31.6228
0.84983,39.8107
0.84603,50.1187
0.84111,63.0958
0.83473,79.4329
0.83106,100
