eta,rate
0.90515,1
0.90947,1.25893
0.91714,1.58489
0.92227,1.99526
0.9202,2.51189
0.92212,3.16228
0.92261,3.98107
0.92108,5.01187
0.92124,6.30957
0.92048,7.94328
0.92213,10
0.91494,12.5893
0.91132,15.8489
0.90712,19.9526
0.90786,25.1189
0.90469,31.6228
0.90073,39.8107
0.89589,50.1187
0.88885,63.0958
0.88039,79.4329
0.87774,100
