eta,rate
0.82282,1
0.82103,1.25893
0.82438,1.58489
0.81567,1.99526
0.81147,2.51189
0.80189,3.16228
0.79446,3.98107
0.79315,5.01187
0.78905,6.30957
0.78649,7.94328
0.78385,10
0.77665,12.5893
0.77173,15.8489
0.76641,19.9526
0.76341,25.1189
0.7602,31.6228
0.75509,39.8107
0.74903,50.1187
0.74107,63.0958
0.7334,79.4329
0.73153,100
