eta,rate
19.2559,0.1
19.3135,0.15849
19.2921,0.25119
19.2632,0.39811
19.1629,0.63096
18.9651,1
18.5504,1.58489
17.5496,2.51189
15.7322,3.98107
12.7851,6.30957
8.2033,10
5.31579,15.8489
3.43319,25.1189
2.18094,39.8107
1.38971,63.0957
0.89213,100
