eta,rate
25.9967,0.1
25.8108,0.15849
25.5915,0.25119
25.386,0.39811
25.0337,0.63096
24.5556,1
23.7079,1.58489
22.3332,2.51189
19.5944,3.98107
12.8852,6.30957
8.20552,10
5.23327,15.8489
3.3313,25.1189
2.13541,39.8107
1.37978,63.0957
0.87992,100
