eta,rate
20.1988,0.1
20.2777,0.15849
20.3479,0.25119
20.3913,0.39811
20.3494,0.63096
20.2764,1
20.0117,1.58489
19.3707,2.51189
17.8844,3.98107
15.1301,6.30957
11.1202,10
7.22087,15.8489
4.68335,25.1189
3.05883,39.8107
1.96835,63.0957
1.22204,100
