eta,rate
24.8805,0.1
24.5514,0.15849
24.3076,0.25119
24.036,0.39811
23.6865,0.63096
23.2008,1
22.5373,1.58489
21.4729,2.51189
19.5983,3.98107
16.1321,6.30957
11.0032,10
7.13404,15.8489
4.61475,25.1189
2.98537,39.8107
1.9072,63.0957
1.23247,100
