eta,rate
22.3516,0.1
22.1245,0.15849
21.9043,0.25119
21.6261,0.39811
21.3513,0.63096
20.9526,1
20.4077,1.58489
19.4684,2.51189
17.9005,3.98107
15.0241,6.30957
10.4662,10
6.864,15.8489
4.48221,25.1189
2.861,39.8107
1.82425,63.0957
1.20691,100
