,F,V,R0,eta0,etainf,n,tcr,gamma,alpha,,vexp,r0exp,eta0exp,etainfexp,nexp,tcrexp
0,8.361531397,-15.75006397,-5.046627658,3.462624876,-6.538918145,-0.259611955,-0.224688055,0.065396717,0.233599224,,1.44489E-07,0.006430984,31.90060183,0.001446052,0.771350847,0.79876535
1,8.386258976,-15.86361539,-5.063422537,3.463649236,-6.718941319,-0.266318248,-0.290614242,0.062659979,0.163660462,,1.28979E-07,0.006323879,31.93329628,0.001207816,0.766195248,0.747804094
2,8.212098768,-15.82661603,-5.058552247,3.47120271,-7.034788464,-0.266624434,-0.389507401,0.065834126,0.159295221,,1.33841E-07,0.006354753,32.17541689,0.000880704,0.765960686,0.677390474
3,8.616550458,-15.92468967,-5.021093309,3.463893047,-7.23739185,-0.255308034,-0.285039944,0.065755466,0.221523307,,1.21338E-07,0.00659731,31.94108292,0.000719185,0.774677834,0.751984217
4,8.433652623,-15.79748586,-5.019569539,3.462154463,-7.09105272,-0.255551706,-0.297116861,0.060130277,0.159788838,,1.37797E-07,0.00660737,31.88559891,0.00083252,0.77448909,0.742957185
5,8.580282574,-15.82587468,-5.070557644,3.466065493,-6.947836729,-0.270251457,-0.304441758,0.063734772,0.08207997,,1.3394E-07,0.006278918,32.01054863,0.000960711,0.763187562,0.737534983
6,8.347123571,-15.84232744,-4.958337135,3.46353668,-7.283484447,-0.252809584,-0.32813149,0.068296879,0.165313799,,1.31754E-07,0.007024599,31.92970221,0.000686788,0.776615748,0.720268305
7,8.491450251,-15.77051576,-5.018796213,3.468306967,-6.830094731,-0.259166641,-0.26154818,0.066683166,0.222039087,,1.41564E-07,0.006612482,32.08237992,0.001080756,0.771694416,0.769858783
8,8.559601855,-15.8161496,-5.118160836,3.467054479,-6.95026069,-0.268374457,-0.310748013,0.067501345,0.125889683,,1.35249E-07,0.005987024,32.04222228,0.000958385,0.76462141,0.732898533
9,8.427059719,-15.85104237,-5.019573345,3.466068199,-7.238981543,-0.260967478,-0.271141128,0.062271438,0.207908674,,1.30611E-07,0.006607345,32.01063524,0.000718043,0.770305971,0.762508877
10,8.376081751,-15.85319534,-5.00966615,3.464101327,-6.556049113,-0.250007182,-0.362764427,0.067501343,0.1478639,,1.3033E-07,0.006673131,31.94773631,0.001421491,0.77879519,0.695750314
11,8.492017568,-15.81014845,-5.012634882,3.466976744,-6.864038219,-0.256863993,-0.351291482,0.065359976,0.225817885,,1.36063E-07,0.006653349,32.03973156,0.001044687,0.773473405,0.703778585
12,8.565927961,-15.85651693,-5.042303638,3.470172134,-7.401214025,-0.263268875,-0.394788798,0.066618155,0.19786383,,1.29898E-07,0.006458852,32.14227476,0.000610511,0.76853523,0.673822337
13,8.534384972,-15.81828516,-5.033968984,3.468726751,-6.074159042,-0.261494753,-0.362601256,0.065451738,0.252015305,,1.3496E-07,0.00651291,32.0958504,0.002301581,0.769899915,0.69586385
14,8.579183822,-15.82422951,-5.100485745,3.472395687,-7.449667861,-0.270348829,-0.24640056,0.066862849,0.082666575,,1.3416E-07,0.006093786,32.21382431,0.000581635,0.763113252,0.781609081
15,8.382733909,-15.82812591,-5.133657175,3.467553705,-7.320479084,-0.264074863,-0.260130888,0.066262265,0.068030045,,1.33639E-07,0.005894962,32.05822258,0.000661845,0.767916049,0.770950671
16,8.340340249,-15.79905637,-5.108892571,3.456414077,-7.277647151,-0.264254809,-0.347999713,0.064548277,0.109913846,,1.37581E-07,0.006042771,31.70308761,0.000690809,0.767777878,0.706099079
17,8.410116655,-15.82817606,-5.161009292,3.467729638,-6.692299534,-0.261676743,-0.435255957,0.066128313,0.118208767,,1.33632E-07,0.005735908,32.06386317,0.001240427,0.769759813,0.647099016
18,8.411763704,-15.79605296,-5.118958756,3.462360392,-7.130298229,-0.261940366,-0.350438605,0.060136883,0.418576314,,1.37994E-07,0.005982249,31.89216576,0.000800481,0.769556914,0.704379078
19,8.638350244,-15.83693799,-5.106065406,3.47200868,-7.304452288,-0.249572048,-0.421744679,0.067328726,0.068346846,,1.32466E-07,0.006059879,32.20135977,0.000672538,0.779134144,0.655901483
20,8.522861916,-15.76997629,-5.03118288,3.465071547,-7.57382819,-0.256441341,-0.266236164,0.065798854,0.291829206,,1.4164E-07,0.006531081,31.97874766,0.000513722,0.773800384,0.766258143
21,8.583061649,-15.8707679,-5.055206604,3.467068209,-6.771454213,-0.259425323,-0.369568662,0.068570369,0.157712857,,1.2806E-07,0.006376049,32.0426622,0.001146027,0.771494819,0.691032335
22,8.472403897,-15.86076387,-5.078195425,3.469186435,-7.162924446,-0.255297101,-0.30272583,0.066424849,0.25964192,,1.29347E-07,0.006231143,32.11060776,0.000774785,0.774686304,0.738801626
23,8.442779922,-15.79504284,-5.102433882,3.472562858,-7.043699162,-0.272033876,-0.273410736,0.067129744,0.17760546,,1.38134E-07,0.006081926,32.21920998,0.000872892,0.761828453,0.760780243
24,8.494248066,-15.80289345,-5.041137015,3.468508941,-7.100250606,-0.268586159,-0.343318978,0.066493462,0.317948295,,1.37054E-07,0.006466392,32.08886036,0.000824898,0.764459555,0.709411889
25,8.450171377,-15.8080599,-5.067425179,3.465406097,-6.841077337,-0.261422605,-0.344017312,0.063621102,0.26265347,,1.36347E-07,0.006298617,31.98944794,0.001068951,0.769955464,0.708916655
26,8.576382106,-15.79726658,-5.017629512,3.468254047,-6.832656036,-0.25932085,-0.381326712,0.06685827,0.278563469,,1.37827E-07,0.006620201,32.08068215,0.001077991,0.771575424,0.682954724
27,8.475950575,-15.85274771,-5.02795604,3.460620491,-6.80997096,-0.254443032,-0.259862975,0.067163366,0.228469706,,1.30388E-07,0.006552189,31.83672478,0.001102725,0.775348222,0.771157247
28,8.354173149,-15.80887,-5.016498733,3.466473308,-6.487402995,-0.261847925,-0.33825513,0.064689922,0.142056528,,1.36237E-07,0.006627691,32.02360566,0.001522498,0.769628056,0.713013354
29,8.440301736,-15.89045302,-5.060952928,3.46675385,-7.258374796,-0.260046824,-0.343961104,0.065503195,0.212031238,,1.25564E-07,0.006339516,32.0325909,0.000704252,0.771015483,0.708956503
30,8.481042876,-15.85052709,-5.072898682,3.462305576,-7.234889071,-0.250800211,-0.290412843,0.064638868,0.171632687,,1.30678E-07,0.006264236,31.8904176,0.000720987,0.778177827,0.747954716
31,8.531588847,-15.81492103,-5.006018075,3.465626123,-6.745183032,-0.257019012,-0.32294762,0.061512906,0.144738349,,1.35415E-07,0.006697519,31.99648722,0.001176533,0.773353511,0.724011777
32,8.603831563,-15.84507741,-5.044701364,3.469322239,-6.834470569,-0.255847387,-0.36345347,0.064357643,0.031628712,,1.31392E-07,0.006443384,32.1149688,0.001076037,0.774260122,0.695271077
33,8.392485311,-15.76801952,-5.013031501,3.471142552,-7.451795413,-0.259320564,-0.376174747,0.065617989,0.282798078,,1.41918E-07,0.006650711,32.17348132,0.000580399,0.771575644,0.686482362
34,8.389153181,-15.83582164,-5.018545273,3.469783615,-6.868739504,-0.26064287,-0.344623281,0.068151828,0.054641317,,1.32614E-07,0.006614141,32.12978927,0.001039787,0.770556059,0.708487204
35,8.472781375,-15.80075602,-5.128920012,3.467998177,-7.465830024,-0.26295427,-0.318109336,0.065561224,0.288419487,,1.37347E-07,0.005922954,32.07247472,0.00057231,0.768777053,0.72752324
36,8.549535833,-15.85566818,-4.993879315,3.468103221,-6.938336383,-0.271309121,-0.313622721,0.065196766,0.274049422,,1.30008E-07,0.006779314,32.07584392,0.000969882,0.762380792,0.730794689
37,8.516627516,-15.87134637,-5.04411005,3.466116352,-6.956152315,-0.259066338,-0.303090463,0.067506115,0.031132289,,1.27986E-07,0.006447195,32.0121767,0.000952755,0.771771824,0.738532284
38,8.449940403,-15.81205361,-5.067956183,3.466753472,-6.645544603,-0.260835797,-0.331789737,0.064510757,0.150383155,,1.35804E-07,0.006295273,32.03257878,0.0012998,0.770407412,0.7176382
39,8.590404923,-15.81990809,-5.001362127,3.469527639,-7.410230852,-0.262408029,-0.411632718,0.065693646,0.204166244,,1.34741E-07,0.006728775,32.12156587,0.000605031,0.769197105,0.662567581
40,8.595307009,-15.84248734,-5.05723595,3.468959689,-7.034825977,-0.259522534,-0.372825369,0.066459875,0.166195393,,1.31733E-07,0.006363123,32.10332762,0.000880671,0.771419825,0.688785506
41,8.623830202,-15.84518494,-5.102071074,3.46819775,-7.416574988,-0.258925149,-0.299233462,0.070055011,0.160582703,,1.31378E-07,0.006084133,32.07887615,0.000601205,0.771880797,0.741386303
