,F,V,R0,eta0,etainf,n,tcr,gamma,alpha
0,2.9038265876240814,-14.48585582992564,-4.452346084324519,3.4610210464077817,-7.0445984382855205,-0.24476116165689707,-0.31922853482515084,0.06792318283477017,0.26356828695955037
1,3.1042941925505128,-14.581056570835901,-4.494902635887664,3.4651367003328866,-6.7741684404293,-0.2651908454758711,-0.3631800782796253,0.06418637435905952,0.06134950239948396
2,2.775806925158827,-14.502496869486896,-4.367615659916009,3.4606202499068552,-7.2762300841870875,-0.2630263693637012,-0.32714836956492677,0.06585588126122888,0.06507540380183469
3,2.9445046421377095,-14.566218362929346,-4.40059021696269,3.462101067334258,-7.052679922765166,-0.2556535464903988,-0.43086371644798727,0.06484493604625632,0.04112463230945125
4,2.6864462860824085,-14.500309585582787,-4.460595187293362,3.470711773142288,-6.890943386213967,-0.24722500651116977,-0.36841740105507903,0.0661663231554028,0.08560482593053736
5,2.8399868081866018,-14.518243054823182,-4.476429055030007,3.4658000346702824,-7.175282989754846,-0.25931386505227416,-0.3637040234376869,0.06467702784839205,0.1718753764876421
6,2.628023694526963,-14.478329136752995,-4.409787933957234,3.4670373739540215,-6.73688369282316,-0.2546668177061746,-0.3200656532607694,0.06579224345156953,0.03396850869616419
7,2.716975869451725,-14.502024919257988,-4.483847955256268,3.4698355006554706,-6.732738939998248,-0.2616987217329202,-0.4140029818949452,0.06931920980281939,0.06837163317306126
8,2.7025597773081813,-14.458344173403866,-4.485556367828718,3.465993891285265,-6.674674894130808,-0.2586836424196389,-0.36054073702091916,0.06799859850701026,0.08315619949227263
9,2.8222393808421082,-14.51630734876053,-4.4222755100149485,3.4652146675740645,-7.003221177589272,-0.26231417422121145,-0.28601353239654503,0.06468178119754567,0.09739832463189421
10,2.7527251697379693,-14.475037339989798,-4.490189775481235,3.464093599656428,-6.498741425593552,-0.25883945781752,-0.3050978627844555,0.06664563573492943,0.22546265303776433
11,2.810049585270671,-14.501878302448747,-4.472238990630304,3.46276556727457,-6.853330114760853,-0.2559413013488689,-0.4291282967504081,0.06364184983634961,0.17503031353116952
12,2.6527400946108153,-14.545603942100328,-4.409381692793608,3.4694795211573384,-6.585195995110491,-0.260531236792721,-0.3724984705289328,0.0680081109707045,0.012996457426938585
13,2.865038924126613,-14.526883634207653,-4.4068266810404335,3.468274369721539,-6.680175986146845,-0.26804921649756763,-0.3980020945495073,0.06567270673805975,0.13001111891407058
14,2.9036423616833558,-14.507619933962232,-4.510376267901031,3.4664822822674606,-7.164219019331125,-0.25137675479315413,-0.3648822306290836,0.06591597250909563,0.15360053918747454
15,2.785889033427607,-14.518848355516221,-4.449496554089059,3.4630510691933907,-6.623034047793594,-0.2595675871811839,-0.3067481313746793,0.06640855305735585,0.0657298958837081
16,2.8120906609077814,-14.48174767913784,-4.4381023681064455,3.468514149459442,-7.091436615142812,-0.25681974426075016,-0.2782303458806885,0.06467522252945755,0.17696593805785454
17,2.811042289851955,-14.564702962944102,-4.411122906895575,3.4646002441774875,-6.713427144942023,-0.25643384147331844,-0.376771956370844,0.06297591577104056,0.11118607249652836
18,2.7404474364878735,-14.459543382111852,-4.441405214067266,3.470951214419054,-6.304950644093891,-0.25699336385348515,-0.42353737239695954,0.06682344985427228,0.08082524003407235
19,2.824367078325642,-14.495668527414633,-4.3967124752199185,3.4582623745240535,-6.817878080682813,-0.2553505051941518,-0.4602640845826826,0.06713132538328827,0.07455915327142915
20,2.875303577336786,-14.548045740247387,-4.48298166307422,3.466932270670286,-7.029558222165107,-0.2605264018781209,-0.3654142769941184,0.06639339268908792,0.098814628222788
21,2.8684475549913193,-14.568380281458536,-4.4461486473187515,3.4611077568156685,-7.010015701991404,-0.26038354392049434,-0.36872263633428565,0.06630683806348564,0.17917084156067678
22,2.8476235052395684,-14.51955600443563,-4.458238127327903,3.4657695547475247,-7.11051372133883,-0.25565931104920137,-0.46585788411184076,0.06393649507526905,0.13526711206433095
23,2.8126141730506538,-14.456370596375738,-4.503217686504844,3.4652831219499305,-6.801252729661713,-0.2533653581720114,-0.38549726696693254,0.06512820906785405,0.01907724465761651
24,2.732896131170874,-14.493582122249956,-4.457549398240568,3.464343733009126,-7.216347388390226,-0.24461459106834615,-0.327424486429178,0.061345402758140266,0.184136106689562
25,2.7306461197920466,-14.514628592190823,-4.451395934849559,3.4651606002385513,-7.055675241004589,-0.25421220973240627,-0.29151209061516775,0.0690588483583104,0.16397035684840208
26,2.731673109597334,-14.50338746013834,-4.441184112641549,3.46239636157704,-6.9923658094562295,-0.255062873795378,-0.324283659705367,0.0631761734757865,0.08843146748953018
27,2.6549175254632376,-14.432233314321058,-4.451865120662646,3.4653500793770884,-6.749465562147544,-0.252098296148851,-0.29329880717415197,0.06664536155686461,0.3472078121476678
28,2.787069228316788,-14.50276518791385,-4.424130418393628,3.4632394668439135,-6.476067170020771,-0.2624273086562791,-0.3368895048065773,0.06531531914825438,0.1289326490903602
29,2.949475931858889,-14.54946052025891,-4.443192574026134,3.470649987508772,-6.973616230228125,-0.2722473008622879,-0.3936834919696741,0.06896104073705417,0.20561767970035846
30,2.974775144561066,-14.560272192855784,-4.391542537133751,3.4616943516900256,-7.051101468212751,-0.2546434376469524,-0.3706748719989702,0.06718941043972741,0.10395223585975262
31,2.6599272025785607,-14.431034141022693,-4.433084726935271,3.4710751808836484,-6.5025333273763195,-0.24970320060767073,-0.3060919496168025,0.0676854247709076,0.19493260778050459
32,2.7339835000285313,-14.483667034172187,-4.483717121544616,3.4667415870499245,-7.212691494314058,-0.26366505268032786,-0.34550012315424383,0.062172874918700737,0.1457615288078106
33,2.747528588022367,-14.510630871588333,-4.43317837743264,3.4587421621773906,-6.711674808797291,-0.2580389937525646,-0.3458971598674095,0.06500162882734037,0.05111628681869143
34,2.703234313066348,-14.471089489030366,-4.453180832040103,3.468922316640781,-6.774734032954943,-0.2521599481939475,-0.3504972354930931,0.06476335942704543,0.05816725438166178
35,2.7895956558115342,-14.510751774487902,-4.455133953301534,3.468580895044142,-6.889418188114969,-0.26166546060293355,-0.3558726584876012,0.06822344095428326,0.17695000516605386
36,2.7306042537798065,-14.475280059985112,-4.437300440564102,3.47852575039549,-6.994868007412385,-0.2652137113795565,-0.22159401629797856,0.06588185656706591,0.13436675141874999
37,2.7339669290386137,-14.508666324996902,-4.468509266942835,3.46534446253886,-6.55293458814538,-0.26444973974342006,-0.28392568860237677,0.0680186467056221,0.2597976672479205
38,2.8742480508373363,-14.542276081295503,-4.413122831717822,3.4581981875533323,-6.85172590824066,-0.25515944641349697,-0.35613821118012134,0.06466219533959668,0.1169524158549254
39,2.7920166771533372,-14.539269126537981,-4.414818112887115,3.4657829234032183,-7.063435867012056,-0.2561721671374098,-0.29310426477930507,0.0651815497441916,0.06298367578090569
40,2.8239351832868946,-14.476419557048754,-4.492229515570665,3.4687463218377683,-6.687606904969707,-0.2631539076267954,-0.359935413695288,0.06730782170921494,0.29318993588200715
41,2.9857019692274362,-14.527762460516952,-4.473607781553226,3.466729413953732,-7.45424631644038,-0.25554732577765926,-0.3328077870396492,0.06224501543310182,0.0167303192953151
42,2.6537295433095025,-14.510508351154378,-4.511014685611366,3.4597784158204097,-6.554774267091159,-0.2546391535319845,-0.2690749508295985,0.0678616232526282,0.07309313962342201
43,2.7313465178388334,-14.483723805408676,-4.387259689775304,3.4665291728084884,-6.938649105551191,-0.25403091879110806,-0.3983888162311989,0.06590460403246075,0.13240469144462969
44,2.7466910305366246,-14.473617750343939,-4.421907259925799,3.467104143084186,-6.546832701343833,-0.2554137985376378,-0.30767247108253976,0.06343992843632308,0.020865996114184375
45,2.7725234366573845,-14.54440871712516,-4.455789947044971,3.4718457235264037,-7.057919196549971,-0.26435854856103647,-0.4063550479330252,0.06610416896857227,0.04550101238760565
46,2.798766337979826,-14.543125426499193,-4.404313098822011,3.462352394571474,-7.498960765752301,-0.2584044707401356,-0.3378834372714084,0.06570378678433604,0.061731719260224124
47,2.888649563215386,-14.552003337670488,-4.494400893119873,3.4685521235922674,-7.045031234591782,-0.25471681700025295,-0.3480007255699777,0.0680475567952179,0.093684608597606
48,2.7882309119759077,-14.485717606140732,-4.448703942326516,3.465976182223217,-7.020619660887587,-0.23962089807746081,-0.36730246247884374,0.06699777663102945,0.21429795994440493
49,2.590590725997948,-14.467062396674532,-4.480094126109025,3.463816091256708,-6.695999598269708,-0.2582220328932303,-0.29982392828005866,0.06504064359483133,0.1913716297034746
50,2.866251478233432,-14.512037490124893,-4.504452495438511,3.4592773032056052,-6.663043002616787,-0.257464730376031,-0.4342068264235365,0.0654914796528226,0.08932053144073056
51,2.908631412095156,-14.53545496258886,-4.399074977869466,3.4544947584072383,-7.35813711884071,-0.25117642310082494,-0.29870418004567567,0.06590859823917222,0.1722695436526324
52,2.720097643469436,-14.527454527266427,-4.432272899647208,3.4612988811241525,-7.595217108907636,-0.25904552758969407,-0.4274912332407522,0.06464186911152046,0.07279722685605891
53,2.712297302354415,-14.516011828774847,-4.472238829600742,3.4581279363423034,-7.076631371816742,-0.26171555445839384,-0.36194401850025004,0.0609457651654779,0.03921752332734124
54,2.9367824752100056,-14.55456844652937,-4.458775548296658,3.46297082055319,-7.315295695726478,-0.2671411054769658,-0.351197483117927,0.061904374397863504,0.27920705237731613
55,2.706069922722332,-14.481590182825165,-4.475263265995678,3.4727410353940718,-6.592451138786898,-0.262811676180899,-0.2940328145834955,0.06446093053975221,0.210544287679492
56,2.8865687473655752,-14.550794546020153,-4.392104336951409,3.465918266597954,-7.118349969111728,-0.25802362924128647,-0.36962541820118616,0.07013139292059142,0.18812425705633978
