,F,V,R0,eta0,etainf,n,tcr,gamma,alpha,,vexp,r0exp,eta0exp,etainfexp,nexp,tcrexp
14,8.444763298,-14.53553569,-4.46451534,3.472590977,-6.89490613,-0.257985384,-0.389711758,0.06682001,0.273918872,,4.8674E-07,0.011510273,32.22011597,0.001012932,0.772606525,0.677252059
15,8.477622806,-14.55707851,-4.372755966,3.463243895,-6.35700257,-0.261025564,-0.327862877,0.06426582,0.215663125,,4.76366E-07,0.012616422,31.92035502,0.001734558,0.770261228,0.720461805
16,8.44319746,-14.56621554,-4.452324096,3.463085217,-6.896909029,-0.256512707,-0.30271508,0.067223669,0.172329253,,4.72034E-07,0.011651456,31.91529038,0.001010905,0.773745163,0.738809568
17,8.591764137,-14.59971006,-4.466718234,3.463521218,-6.785116138,-0.268006329,-0.283985581,0.065050667,0.063801522,,4.56485E-07,0.011484945,31.92920851,0.001130476,0.76490294,0.752777499
18,8.488676015,-14.51911081,-4.406934301,3.473031766,-6.968342184,-0.245804657,-0.363441834,0.065831059,0.269179731,,4.94801E-07,0.0121925,32.23432138,0.000941212,0.782074983,0.695279167
19,8.469090661,-14.52043022,-4.35323867,3.471087314,-6.75383153,-0.257636557,-0.333186434,0.068293711,0.360350286,,4.94148E-07,0.012865079,32.17170419,0.001166402,0.772876077,0.716636576
20,8.342152915,-14.59827596,-4.401810596,3.461587606,-6.975490568,-0.253124987,-0.324913578,0.064908836,0.07125195,,4.5714E-07,0.012255131,31.86752945,0.000934508,0.776370839,0.722589799
21,8.440668021,-14.58468023,-4.38650623,3.461548542,-6.958575127,-0.252985848,-0.303102222,0.067649886,0.133865412,,4.63398E-07,0.01244413,31.86628461,0.00095045,0.776478871,0.738523599
22,8.61704394,-14.54944096,-4.385412311,3.460401927,-6.979085129,-0.252242289,-0.35606404,0.064265701,0.197660792,,4.80019E-07,0.012457751,31.82976718,0.000931155,0.777056443,0.700427763
23,8.540822842,-14.55087951,-4.370935415,3.472148001,-6.278820242,-0.258903195,-0.324080306,0.065350987,0.033566874,,4.79329E-07,0.012639412,32.20584638,0.001875612,0.771897743,0.723192164
24,8.487696073,-14.5414544,-4.437687522,3.461780918,-7.313723437,-0.251816797,-0.332292096,0.063581552,0.22158858,,4.83868E-07,0.011823248,31.87369042,0.000666331,0.777387145,0.717277778
25,8.428126198,-14.52187693,-4.399380612,3.455851216,-6.863203342,-0.259520702,-0.345502665,0.065254889,0.314000713,,4.93434E-07,0.012284947,31.68524819,0.001045559,0.771421238,0.707864445
26,8.345184217,-14.54060782,-4.413943282,3.465114367,-6.854188353,-0.257644635,-0.371261157,0.066042074,0.190534818,,4.84277E-07,0.012107341,31.98011703,0.001055028,0.772869834,0.689863755
27,8.395505006,-14.54960163,-4.421134573,3.460534749,-6.940889224,-0.261524017,-0.326023976,0.069695333,0.191048673,,4.79941E-07,0.012020586,31.83399515,0.000967409,0.769877385,0.721787882
28,8.457620668,-14.53438843,-4.447764571,3.471137724,-6.726924194,-0.256630482,-0.301264087,0.064470656,0.161177963,,4.87299E-07,0.011704703,32.17332599,0.001198213,0.77365404,0.739882354
29,8.566006714,-14.60836495,-4.373723289,3.464235259,-6.956946969,-0.258254695,-0.354023581,0.063952139,0.011240587,,4.52551E-07,0.012604224,31.95201542,0.000951999,0.772398481,0.701858417
30,8.529538776,-14.55657013,-4.373389945,3.46460414,-6.807835156,-0.257034666,-0.32279623,0.065568911,0.109840732,,4.76609E-07,0.012608426,31.96380407,0.001105083,0.773341404,0.724121393
31,8.39432136,-14.51849994,-4.42691348,3.464993052,-6.398336528,-0.267635698,-0.311820384,0.066044067,0.143060205,,4.95103E-07,0.011951321,31.97623759,0.001664324,0.765186489,0.732113016
32,8.516440382,-14.54125915,-4.394990302,3.466615317,-6.827149564,-0.253397156,-0.321020632,0.069409989,0.237873922,,4.83962E-07,0.012339,32.02815363,0.001083943,0.776159564,0.725408284
33,8.369879858,-14.53468707,-4.355673111,3.468398888,-7.680036701,-0.25229289,-0.333082555,0.066526039,0.142895162,,4.87153E-07,0.012833798,32.08532909,0.000461958,0.777017124,0.716711024
34,8.685214505,-14.55587952,-4.436869393,3.468344234,-6.901922331,-0.265386936,-0.354485072,0.065220344,0.169608276,,4.76938E-07,0.011832925,32.08357555,0.00100585,0.766909148,0.70153459
35,8.515570856,-14.53166186,-4.375005386,3.459368402,-7.204042043,-0.249051854,-0.45285702,0.062264852,0.048927863,,4.88629E-07,0.012588074,31.79688733,0.000743574,0.77953955,0.635809035
36,8.472044905,-14.47725341,-4.39228618,3.469352164,-7.090820715,-0.257156732,-0.381831098,0.064841768,0.116883427,,5.15951E-07,0.012372411,32.11592984,0.000832714,0.773247012,0.682610338
37,8.433803317,-14.58785741,-4.362905979,3.462412722,-7.047514259,-0.264061532,-0.376411215,0.064405731,0.071929752,,4.61928E-07,0.012741308,31.89383473,0.000869568,0.767926286,0.68632005
38,8.474791651,-14.5352675,-4.397941851,3.464121213,-7.051114432,-0.25082291,-0.453893301,0.066362657,0.063705293,,4.86871E-07,0.012302635,31.94837163,0.000866443,0.778160164,0.6351505
39,8.345576556,-14.55735149,-4.422464371,3.466759926,-6.62793047,-0.258224995,-0.37395704,0.065896071,0.169781068,,4.76236E-07,0.012004612,32.03278552,0.001322898,0.772421421,0.688006468
40,8.366057758,-14.5181001,-4.38896232,3.467627842,-7.008676318,-0.249508551,-0.356386089,0.067105311,0.247169352,,4.95301E-07,0.012413604,32.06059936,0.000904004,0.779183618,0.700202228
41,8.461034002,-14.52427799,-4.420281585,3.470941147,-7.022923564,-0.255465462,-0.345489291,0.064745866,0.275488475,,4.92251E-07,0.012030844,32.16700209,0.000891216,0.774555888,0.707873912
42,8.346804404,-14.52349133,-4.42004304,3.466870742,-6.850972554,-0.26721547,-0.408232395,0.065350076,0.127128068,,4.92638E-07,0.012033714,32.03633548,0.001058426,0.76550811,0.664824359
43,8.277337965,-14.54904078,-4.491008906,3.463780611,-6.521502512,-0.266699037,-0.321630623,0.066680839,0.047801178,,4.80211E-07,0.011209329,31.93749178,0.001471457,0.765903546,0.724965927
44,8.575532337,-14.56295849,-4.453147824,3.468672892,-7.064333066,-0.258415981,-0.372111218,0.063903573,0.125310643,,4.73574E-07,0.011641863,32.09412182,0.000855065,0.772273914,0.689277578
45,8.45853337,-14.48186646,-4.386714695,3.470062689,-7.203997423,-0.245169811,-0.348156001,0.06483348,0.189242851,,5.13577E-07,0.012441536,32.13875712,0.000743607,0.782571638,0.705988733
46,8.457944851,-14.56319867,-4.38568241,3.4663707,-7.408514771,-0.261627344,-0.241128245,0.066022682,0.372918582,,4.7346E-07,0.012454386,32.02031996,0.00060607,0.76979784,0.785740853
47,8.475767915,-14.54479709,-4.382655199,3.464387884,-6.731175241,-0.257698399,-0.38772918,0.065233168,0.11079246,,4.82253E-07,0.012492145,31.95689245,0.00119313,0.772828283,0.678596096
48,8.569627057,-14.5178423,-4.402304183,3.466987878,-6.914727309,-0.246219646,-0.346417621,0.069374446,0.047393571,,4.95429E-07,0.012249083,32.04008831,0.000993052,0.781750498,0.707217076
49,8.41629506,-14.54354698,-4.410454971,3.46683897,-7.111216173,-0.25488082,-0.347994866,0.064224305,0.338277577,,4.82856E-07,0.012149649,32.03531763,0.000815902,0.775008858,0.706102501
50,8.533243155,-14.49995848,-4.392077608,3.464521693,-7.052270099,-0.254941946,-0.353970635,0.063699359,0.18424523,,5.04369E-07,0.012374992,31.96116885,0.000865442,0.774961487,0.701895578
51,8.399142778,-14.53436778,-4.38017899,3.462533084,-7.040041531,-0.253949679,-0.415381582,0.064860403,0.21489322,,4.87309E-07,0.012523117,31.89767374,0.00087609,0.775730837,0.660088355
52,8.501000039,-14.50633731,-4.424410327,3.470517407,-6.718026728,-0.261874389,-0.334120775,0.066065068,0.291084848,,5.01162E-07,0.011981274,32.15337454,0.001208921,0.769607689,0.715967306
53,8.365802329,-14.5087388,-4.423543625,3.470181304,-6.927828191,-0.256768225,-0.381810529,0.070089605,0.241338224,,4.99959E-07,0.011991663,32.14256949,0.000980127,0.773547482,0.682624379
54,8.497100526,-14.4987341,-4.412599703,3.468545237,-7.434575642,-0.251387165,-0.347733925,0.067565345,0.099627934,,5.04987E-07,0.01212362,32.09002508,0.000590479,0.777721206,0.706286776
55,8.402847595,-14.49631822,-4.417530493,3.467522605,-6.835474168,-0.258343289,-0.273587508,0.064253111,0.071479156,,5.06208E-07,0.012063988,32.05722557,0.001074957,0.772330055,0.760645771
56,8.589808381,-14.54463258,-4.433673583,3.468761194,-6.711812636,-0.25570971,-0.333878614,0.064908888,0.118729191,,4.82332E-07,0.011870801,32.09695591,0.001216457,0.774366727,0.716140706
57,8.58483641,-14.54443471,-4.378700145,3.463088673,-6.704107471,-0.252742405,-0.269406708,0.067603828,0.07856882,,4.82428E-07,0.01254165,31.91540069,0.001225866,0.776667922,0.763832536
58,8.360231349,-14.51075944,-4.382027669,3.462363343,-6.957891113,-0.248530512,-0.374611251,0.06350529,0.15708233,,4.9895E-07,0.012499987,31.89225987,0.0009511,0.779946062,0.687556513
59,8.39041264,-14.5503855,-4.371183794,3.464272333,-6.891379647,-0.252977395,-0.36079393,0.065223017,0.060299539,,4.79565E-07,0.012636273,31.95320003,0.00101651,0.776485434,0.69712264
60,8.377186291,-14.542348,-4.36062932,3.470204541,-7.309407397,-0.253568173,-0.363580197,0.068839506,0.158350116,,4.83435E-07,0.012770348,32.1433164,0.000669214,0.776026839,0.695182973
61,8.596241705,-14.56759015,-4.448845575,3.462611939,-6.93364666,-0.255125815,-0.328619038,0.06809127,0.186658642,,4.71385E-07,0.011692057,31.90018914,0.000974441,0.774819008,0.719917225
62,8.482665731,-14.54359249,-4.402739462,3.458846399,-7.116640907,-0.267391795,-0.442580899,0.062949181,0.18825395,,4.82834E-07,0.012243753,31.78029357,0.000811488,0.765373143,0.642376371
63,8.421499041,-14.49201976,-4.390005602,3.466633775,-7.289185739,-0.258750577,-0.358230328,0.063159022,0.088957148,,5.08389E-07,0.01240066,32.0287448,0.000682884,0.772015558,0.698912078
64,8.489774685,-14.56674729,-4.386240086,3.467152195,-7.152462396,-0.258059875,-0.35288629,0.063659967,0.138854936,,4.71783E-07,0.012447443,32.04535346,0.000782934,0.772548974,0.702657088
65,8.549076773,-14.4842099,-4.412869276,3.466156944,-7.689307132,-0.257510824,-0.358151378,0.066237469,0.282051152,,5.12375E-07,0.012120352,32.01347615,0.000457695,0.77297326,0.698967259
66,8.40866198,-14.51929649,-4.375892459,3.464194037,-6.369815412,-0.254182816,-0.407434113,0.064654304,0.051536091,,4.94709E-07,0.012576913,31.95069831,0.001712475,0.775550006,0.665355288
67,8.350418519,-14.519535,-4.448904983,3.461018821,-6.460889018,-0.255111819,-0.381819355,0.066270494,0.247130111,,4.94591E-07,0.011691362,31.84940884,0.001563405,0.774829852,0.682618353
68,8.543377511,-14.57160464,-4.430556942,3.472725437,-6.875692492,-0.262657899,-0.383622322,0.067950616,0.211992176,,4.69497E-07,0.011907856,32.22444856,0.001032582,0.769004929,0.681388724
69,8.543112348,-14.54215706,-4.437944337,3.469847633,-6.968156637,-0.255314733,-0.363321188,0.066208155,0.069793699,,4.83528E-07,0.011820212,32.13184625,0.000941387,0.774672645,0.695363055
70,8.661033588,-14.58052953,-4.425068619,3.46020408,-6.37674404,-0.25696074,-0.355888569,0.068373737,0.016518509,,4.65325E-07,0.01197339,31.8234704,0.001700651,0.773398577,0.700550679
71,8.548773752,-14.56171179,-4.4492614,3.46708754,-6.822306718,-0.249655765,-0.303420349,0.064200697,0.115185621,,4.74164E-07,0.011687196,32.04328165,0.001089206,0.77906892,0.738288692
72,8.416360356,-14.539026,-4.367022895,3.465413298,-7.361678389,-0.246645511,-0.348801765,0.064054564,0.098519963,,4.85044E-07,0.012688961,31.98967831,0.000635132,0.781417648,0.705532978
73,8.536683161,-14.56091548,-4.423860166,3.469936455,-6.938720555,-0.250399175,-0.315083129,0.062513804,0.172408152,,4.74542E-07,0.011987868,32.1347004,0.000969509,0.778489967,0.72972821
74,8.438960394,-14.53605306,-4.405509903,3.462596924,-7.08318777,-0.250017273,-0.421012628,0.069081957,0.12655772,,4.86488E-07,0.012209879,31.89971017,0.000839094,0.778787331,0.656381813
75,8.413555345,-14.54248932,-4.423817678,3.478595214,-7.106784251,-0.25660475,-0.31978152,0.066214947,0.224222041,,4.83367E-07,0.011988377,32.41415512,0.000819526,0.773673948,0.726307703
76,8.425445631,-14.53249278,-4.4007166,3.465214596,-6.898857548,-0.2583305,-0.341198299,0.062937266,0.200484847,,4.88223E-07,0.012268545,31.98332253,0.001008937,0.772339932,0.71091792
77,8.300911307,-14.44219073,-4.355768848,3.463776123,-6.973871744,-0.257535754,-0.356506944,0.064660584,0.306937046,,5.34363E-07,0.012832569,31.93734845,0.000936022,0.77295399,0.70011761
78,8.537153897,-14.5077371,-4.420403705,3.468735527,-7.054967251,-0.250060413,-0.407603694,0.068166871,0.175020142,,5.00461E-07,0.012029375,32.09613209,0.000863111,0.778753735,0.665242466
79,8.460888291,-14.53817664,-4.36603069,3.457737626,-6.899020129,-0.268862799,-0.455995189,0.064851578,0.534976811,,4.85456E-07,0.012701557,31.74507597,0.001008773,0.764248104,0.633816887
80,8.432361306,-14.52895697,-4.431865273,3.46602941,-6.67610309,-0.271343835,-0.388341331,0.06603374,0.308995652,,4.89953E-07,0.011892287,32.00939361,0.001260681,0.762354327,0.67818082
81,8.494354014,-14.53560038,-4.37863484,3.468588272,-7.264159584,-0.251856844,-0.321322679,0.068282941,0.044756029,,4.86709E-07,0.012542469,32.09140612,0.000700189,0.777356013,0.72518921
82,8.44637043,-14.53818549,-4.391635545,3.465589441,-7.301660629,-0.256904466,-0.314269532,0.067654575,0.093640839,,4.85452E-07,0.012380464,31.99531356,0.000674418,0.7734421,0.730322156
83,8.552674184,-14.53819185,-4.40980774,3.468093586,-6.729202593,-0.256412328,-0.317217807,0.068320271,0.203657552,,4.85449E-07,0.012157516,32.07553487,0.001195486,0.773822834,0.728172137
84,8.482452882,-14.50987975,-4.36700195,3.461157605,-7.109359056,-0.243815959,-0.327755674,0.066296401,0.074957946,,4.99389E-07,0.012689227,31.85382932,0.000817419,0.783631842,0.720539044
85,8.39123669,-14.5046594,-4.417360382,3.464345522,-7.151729571,-0.248512416,-0.310488702,0.065568191,0.22799954,,5.02003E-07,0.01206604,31.95553873,0.000783508,0.779960177,0.733088607
86,8.385750239,-14.55802112,-4.345294924,3.469985491,-7.200995047,-0.255716184,-0.343371768,0.06593833,0.067680981,,4.75918E-07,0.012967683,32.13627617,0.000745843,0.774361714,0.70937444
87,8.475988276,-14.5656643,-4.41017297,3.477603617,-6.469403918,-0.25676947,-0.290229596,0.066839121,0.289589702,,4.72294E-07,0.012153076,32.38202929,0.001550149,0.773546519,0.748091789
88,8.474800347,-14.61025369,-4.41364596,3.469825485,-7.104458106,-0.257208368,-0.309116625,0.065722643,0.113767,,4.51697E-07,0.012110942,32.13113458,0.000821435,0.773207085,0.734095151
89,8.498205916,-14.50545568,-4.413787639,3.466144655,-6.752636222,-0.262735616,-0.366204002,0.064747188,0.100195428,,5.01604E-07,0.012109226,32.01308274,0.001167797,0.768945167,0.69336134
90,8.389034158,-14.54195515,-4.334998161,3.473191652,-6.865086375,-0.258929399,-0.375033073,0.065102755,0.21515506,,4.83625E-07,0.013101898,32.23947559,0.001043592,0.771877516,0.687266548
91,8.52170779,-14.55429628,-4.394152261,3.46134468,-7.182990831,-0.255645763,-0.36493898,0.063043939,0.270887343,,4.77694E-07,0.012349345,31.85978896,0.000759393,0.774416247,0.694239012
92,8.535686057,-14.56677078,-4.375240391,3.466052894,-7.325206085,-0.252252491,-0.388806874,0.063206555,0.140588133,,4.71772E-07,0.012585117,32.01014533,0.000658724,0.777048516,0.67786517
93,8.412844114,-14.52731387,-4.402711727,3.468257769,-6.904038221,-0.258822889,-0.444392223,0.061755365,0.113830214,,4.90758E-07,0.012244092,32.08080155,0.001003724,0.771959733,0.641213872
94,8.358824002,-14.50356748,-4.453664199,3.46327376,-6.932276488,-0.253498582,-0.431315284,0.068043481,0.315815558,,5.02552E-07,0.011635853,31.92130836,0.000975777,0.776080846,0.649654053
95,8.539769746,-14.58374234,-4.453002874,3.461691708,-6.988733696,-0.253897504,-0.361507717,0.066896821,0.101949512,,4.63833E-07,0.01164355,31.8708471,0.000922214,0.775771312,0.69662522
96,8.526221331,-14.53563358,-4.424210503,3.468346991,-7.017298586,-0.259258154,-0.34421704,0.062375524,0.236280478,,4.86692E-07,0.011983669,32.08366401,0.000896243,0.7716238,0.708775079
97,8.506003418,-14.52292556,-4.417091763,3.45850894,-6.99653658,-0.261679692,-0.333716719,0.068031302,0.203858694,,4.92917E-07,0.012069282,31.76957085,0.000915046,0.769757544,0.716256655
98,8.51234178,-14.52293408,-4.381530744,3.467536064,-6.432972004,-0.260436005,-0.417909498,0.069902602,0.13190595,,4.92913E-07,0.0125062,32.05765704,0.001607666,0.770715477,0.658421814
99,8.382228386,-14.48742661,-4.393521925,3.466678308,-7.257120598,-0.261680565,-0.370308806,0.069595532,0.242412131,,5.10729E-07,0.012357132,32.03017117,0.000705135,0.769756872,0.690521061
100,8.376105915,-14.51726686,-4.404084868,3.469143287,-7.041979173,-0.262020052,-0.350039485,0.063696777,0.225175576,,4.95714E-07,0.012227291,32.10922227,0.000874394,0.769495594,0.704660266
101,8.512842847,-14.53191138,-4.436849386,3.459613023,-7.115725882,-0.253435207,-0.384803193,0.067877736,0.117069218,,4.88507E-07,0.011833162,31.80466646,0.000812231,0.776130031,0.680584567
102,8.490219225,-14.56224594,-4.391789375,3.472091148,-6.737279445,-0.260670307,-0.332701274,0.064864972,0.096781832,,4.73911E-07,0.01237856,32.20401546,0.001185869,0.770534918,0.716984344
