,F,V,R0,eta0,etainf,n,tcr,gamma,alpha,,vexp,r0exp,eta0exp,etainfexp,nexp,tcrexp
0,2.653664674,-16.05211616,-5.192027237,3.459463955,-6.812736439,-0.26324112,-0.282578873,0.065994492,0.029524168,,1.0682E-07,0.005560722,31.79992575,0.00109968,0.768556561,0.753837182
1,2.763430102,-16.05302682,-5.211106592,3.461639012,-7.222381079,-0.262336142,-0.30676865,0.066468766,0.058999072,,1.06723E-07,0.005455633,31.86916767,0.000730062,0.769252402,0.735820813
2,2.716804432,-16.02282467,-5.193439085,3.467733736,-7.007174623,-0.257343683,-0.363246897,0.062601907,0.058161488,,1.09996E-07,0.005552877,32.06399455,0.000905363,0.773102466,0.695414716
3,2.954720534,-16.05200583,-5.199755301,3.475510196,-6.453523853,-0.249988288,-0.429390958,0.062971206,0.062324795,,1.06832E-07,0.005517914,32.31431096,0.001574962,0.778809905,0.650905403
4,2.747428379,-16.01174834,-5.146200066,3.466927453,-6.617597753,-0.253556605,-0.30605626,0.065597307,0.06684179,,1.11221E-07,0.005821484,32.03815234,0.001336638,0.776035816,0.736345191
5,2.897338544,-16.05296889,-5.190716121,3.468538565,-6.903702969,-0.264782612,-0.395837315,0.064138581,0.130515117,,1.06729E-07,0.005568018,32.08981097,0.001004061,0.767372749,0.673116193
6,2.652289049,-16.00315067,-5.14043451,3.462367498,-6.69672247,-0.254611392,-0.3894829,0.06600605,0.06155426,,1.12181E-07,0.005855145,31.89239239,0.001234953,0.775217695,0.677407071
7,2.877700154,-16.0567947,-5.167104835,3.466797664,-6.78064967,-0.255089711,-0.364191228,0.061938156,0.04581477,,1.06322E-07,0.00570105,32.03399441,0.001135537,0.774846983,0.694758325
8,2.716699482,-16.02534488,-5.145228139,3.467360645,-7.29943534,-0.248562483,-0.304980614,0.062897501,0.113462458,,1.09719E-07,0.005827145,32.052034,0.00067592,0.779921127,0.737137664
9,2.635073185,-16.00705768,-5.188309569,3.460997701,-7.207584454,-0.251373783,-0.35131981,0.066379101,0.030864113,,1.11744E-07,0.005581434,31.84873617,0.000740945,0.777731615,0.703758649
10,2.759455402,-16.02100531,-5.176170725,3.47250008,-6.92730309,-0.249644057,-0.361965875,0.068607486,0.11734585,,1.10196E-07,0.005649599,32.21718737,0.000980642,0.779078041,0.696306129
11,2.766381667,-16.05431114,-5.206027624,3.466804762,-6.730021139,-0.258558172,-0.412550392,0.066462322,0.071841795,,1.06586E-07,0.005483413,32.03422177,0.001194508,0.772164112,0.661959839
12,2.707253564,-16.01059534,-5.209994406,3.4720607,-7.129772955,-0.267320523,-0.401520893,0.061945136,0.17389766,,1.11349E-07,0.005461704,32.2030349,0.000800901,0.765427695,0.669301336
13,2.522292762,-16.00064458,-5.183214905,3.462507438,-7.57525235,-0.25480962,-0.32792744,0.062759472,0.096496505,,1.12463E-07,0.005609942,31.89685571,0.000512991,0.775064041,0.720415291
14,2.715455017,-16.05351416,-5.19857378,3.460112056,-6.813687091,-0.254074296,-0.378050828,0.066830281,0.091477838,,1.06671E-07,0.005524438,31.820542,0.001098635,0.775634173,0.685195673
15,2.769527465,-16.04612708,-5.201132436,3.467670668,-7.10081851,-0.257773359,-0.338816092,0.066697501,0.06504757,,1.07462E-07,0.005510321,32.06197243,0.00082443,0.772770354,0.712613493
16,2.72570533,-16.04902489,-5.158154393,3.466829827,-7.000961216,-0.246702971,-0.347128148,0.068224667,0.088002727,,1.07151E-07,0.005752306,32.03502474,0.000911006,0.781372749,0.706714759
17,2.591794604,-15.99509384,-5.260096631,3.456345272,-6.84164317,-0.256424304,-0.324240612,0.071301308,0.081679284,,1.13089E-07,0.005194803,31.70090635,0.001068346,0.773813567,0.72307624
18,2.823081429,-16.06484009,-5.151870957,3.466396054,-7.109153027,-0.260266758,-0.275445157,0.065743939,0.030087462,,1.0547E-07,0.005788564,32.02113181,0.000817587,0.770845929,0.75923407
19,2.82499657,-16.03736589,-5.187385691,3.467697829,-7.136275137,-0.2544033,-0.313671031,0.069779815,0.070520945,,1.08408E-07,0.005586593,32.06284326,0.00079571,0.775379029,0.730759386
20,2.865458062,-16.02850097,-5.179855345,3.469890383,-6.084971223,-0.257985825,-0.392301653,0.065621793,0.085848956,,1.09373E-07,0.005628821,32.13321992,0.00227683,0.772606184,0.675500316
21,2.613378637,-16.01520539,-5.164139966,3.475798112,-7.385396733,-0.259401722,-0.383573694,0.063961826,0.041484482,,1.10837E-07,0.005717978,32.3236161,0.000620245,0.771513027,0.68142186
22,2.911551573,-16.03617037,-5.236845143,3.465673742,-6.829065541,-0.251634973,-0.33220236,0.062999129,0.044813288,,1.08537E-07,0.005317005,31.99801093,0.001081869,0.777528505,0.717342147
23,2.834610538,-16.04107875,-5.198201009,3.467100567,-7.104906681,-0.241682044,-0.375375877,0.06829792,0.119059972,,1.08006E-07,0.005526498,32.04369906,0.000821066,0.785305831,0.687030991
24,2.658619295,-16.0093489,-5.160073234,3.464840129,-7.090044746,-0.256503761,-0.317270332,0.06409664,0.090095884,,1.11488E-07,0.005741279,31.97134807,0.00083336,0.773752085,0.728133891
25,2.834872365,-16.04917245,-5.150750648,3.462462801,-7.409242417,-0.256867753,-0.280448016,0.06556583,0.096404729,,1.07135E-07,0.005795053,31.89543196,0.000605629,0.773470496,0.755445214
26,2.540102011,-15.95423656,-5.160978673,3.469788323,-7.041581882,-0.248814871,-0.391834016,0.06655506,0.13073391,,1.17805E-07,0.005736083,32.12994057,0.000874742,0.77972431,0.67581628
27,2.849970922,-16.07350932,-5.19397644,3.465604663,-6.868753043,-0.264494203,-0.359151935,0.067492386,0.113179764,,1.0456E-07,0.005549894,31.9958006,0.001039773,0.767594098,0.698268252
28,2.812541965,-16.02674395,-5.197347228,3.467683126,-6.671440922,-0.2652678,-0.383305858,0.068592188,0.137271903,,1.09565E-07,0.005531218,32.06237185,0.001266572,0.76700052,0.681604393
29,2.820862998,-16.05533517,-5.23243657,3.468688853,-6.82423915,-0.263008285,-0.353799629,0.065205509,0.053847619,,1.06477E-07,0.005340497,32.09463407,0.001087103,0.768735528,0.702015617
30,2.637165693,-15.99755009,-5.191987742,3.468256078,-6.342394191,-0.255389044,-0.39225709,0.064445207,0.072103549,,1.12811E-07,0.005560942,32.0807473,0.001760083,0.77461508,0.675530419
31,2.727885134,-16.03147941,-5.188383823,3.461849176,-6.484161819,-0.252626196,-0.357870468,0.066026046,0.056305407,,1.09048E-07,0.005581019,31.87586613,0.001527441,0.776758183,0.699163633
32,2.907977077,-16.08055409,-5.15143813,3.467539056,-7.037823283,-0.263147801,-0.356234634,0.063110838,0.079525867,,1.03826E-07,0.00579107,32.05775296,0.000878036,0.768628285,0.700308285
33,2.73529494,-16.05113737,-5.132971568,3.460089645,-6.681266941,-0.259445966,-0.321172238,0.062709488,0.043033199,,1.06925E-07,0.005899005,31.81982886,0.001254188,0.771478893,0.725298316
34,2.854692652,-16.04500426,-5.166373817,3.462869718,-6.786265697,-0.247017114,-0.34968915,0.067792818,0.052877503,,1.07583E-07,0.00570522,31.9084134,0.001129178,0.781127325,0.704907176
35,2.649965311,-16.00230769,-5.181539938,3.475626747,-7.176466085,-0.254030182,-0.37405792,0.064359067,0.209317401,,1.12276E-07,0.005619346,32.31807746,0.000764364,0.77566839,0.687937066
36,2.572155234,-15.98443654,-5.195315109,3.462659803,-7.237299036,-0.248969916,-0.383433784,0.064076425,0.079911966,,1.143E-07,0.00554247,31.90171606,0.000719252,0.779603427,0.681517204
37,2.787057229,-16.00899991,-5.170925308,3.472784464,-7.421651921,-0.253921142,-0.37115215,0.066008212,0.152821671,,1.11527E-07,0.005679311,32.22635075,0.00059816,0.775752974,0.689938959
